time	W	temp4	temp5	temp6	temp7
1618511427.0123494	0	55.0	55.0	59.0	52.0	
1618511427.050116	0	57.0	57.0	60.0	54.0	
1618511427.0875256	0	58.0	59.0	62.0	55.0	
1618511427.1227143	0	58.0	60.0	62.0	56.0	
1618511427.1563675	0	60.0	61.0	64.0	56.0	
1618511427.1915126	0	60.0	63.0	64.0	57.0	
1618511427.2284489	0	61.0	63.0	65.0	57.0	
1618511427.2647848	0	62.0	63.0	66.0	58.0	
1618511427.3002694	0	62.0	65.0	67.0	58.0	
1618511427.3376026	0	63.0	65.0	67.0	59.0	
1618511427.3735588	0	62.0	65.0	67.0	59.0	
1618511427.4102657	0	64.0	66.0	67.0	60.0	
1618511427.4474602	0	63.0	66.0	68.0	59.0	
1618511427.483506	0	65.0	67.0	68.0	60.0	
1618511427.5214102	0	65.0	67.0	69.0	60.0	
1618511427.5579274	0	63.0	67.0	69.0	61.0	
1618511427.5955136	0	65.0	68.0	69.0	61.0	
1618511427.633906	0	65.0	69.0	70.0	61.0	
1618511427.6705554	0	66.0	69.0	69.0	61.0	
1618511427.7049549	0	66.0	69.0	70.0	61.0	
1618511427.738632	0	66.0	69.0	70.0	61.0	
1618511427.7743645	0	66.0	69.0	71.0	61.0	
1618511427.8091476	9.638	65.0	69.0	71.0	62.0	
1618511427.8476446	9.638	66.0	69.0	71.0	61.0	
1618511427.8807492	9.638	65.0	70.0	71.0	61.0	
1618511427.9147246	9.638	66.0	70.0	72.0	62.0	
1618511427.9544818	9.638	67.0	70.0	71.0	62.0	
1618511427.9901392	9.638	67.0	71.0	72.0	62.0	
1618511428.0258043	9.638	67.0	71.0	73.0	63.0	
1618511428.0638707	9.638	67.0	71.0	73.0	63.0	
1618511428.0996208	9.638	68.0	71.0	73.0	63.0	
1618511428.1330302	9.638	68.0	72.0	74.0	63.0	
1618511428.172273	9.638	68.0	72.0	73.0	63.0	
1618511428.2073698	9.638	68.0	72.0	73.0	63.0	
1618511428.2436428	9.638	68.0	72.0	73.0	63.0	
1618511428.2775524	9.638	68.0	72.0	74.0	63.0	
1618511428.3143766	9.638	68.0	72.0	74.0	63.0	
1618511428.348026	9.638	69.0	72.0	74.0	64.0	
1618511428.3813148	9.638	69.0	72.0	74.0	63.0	
1618511428.4188354	9.638	67.0	72.0	74.0	64.0	
1618511428.4546938	9.638	69.0	72.0	75.0	64.0	
1618511428.492061	9.638	68.0	72.0	75.0	64.0	
1618511428.5274162	9.638	68.0	72.0	75.0	65.0	
1618511428.5632029	9.638	68.0	73.0	75.0	64.0	
1618511428.5970614	9.638	68.0	73.0	75.0	64.0	
1618511428.6342034	9.638	68.0	73.0	74.0	64.0	
1618511428.6702003	9.638	68.0	73.0	74.0	64.0	
1618511428.7078664	9.638	69.0	73.0	75.0	65.0	
1618511428.7434876	9.638	69.0	74.0	75.0	65.0	
1618511428.7782254	9.638	69.0	73.0	75.0	65.0	
1618511428.8124576	9.638	69.0	73.0	74.0	65.0	
1618511428.847301	9.951	69.0	74.0	75.0	65.0	
1618511428.8843288	9.951	70.0	74.0	76.0	64.0	
1618511428.9214358	9.951	69.0	73.0	75.0	64.0	
1618511428.956214	9.951	70.0	74.0	75.0	65.0	
1618511428.993808	9.951	70.0	74.0	76.0	66.0	
1618511429.025101	9.951	70.0	74.0	76.0	66.0	
1618511429.0593476	9.951	71.0	74.0	76.0	66.0	
1618511429.0957644	9.951	71.0	74.0	76.0	66.0	
1618511429.1319435	9.951	70.0	74.0	75.0	66.0	
1618511429.1682892	9.951	70.0	74.0	76.0	66.0	
1618511429.2071583	9.951	70.0	74.0	75.0	65.0	
1618511429.2445083	9.951	71.0	74.0	76.0	66.0	
1618511429.2804234	9.951	71.0	75.0	76.0	66.0	
1618511429.3144426	9.951	70.0	75.0	76.0	66.0	
1618511429.350706	9.951	70.0	74.0	75.0	66.0	
1618511429.385279	9.951	71.0	75.0	75.0	66.0	
1618511429.4234288	9.951	71.0	75.0	76.0	66.0	
1618511429.4571722	9.951	70.0	75.0	76.0	66.0	
1618511429.491944	9.951	70.0	75.0	77.0	66.0	
1618511429.5272105	9.951	69.0	75.0	76.0	65.0	
1618511429.5636854	9.951	71.0	75.0	77.0	66.0	
1618511429.60306	9.951	70.0	75.0	76.0	66.0	
1618511429.6381142	9.951	70.0	75.0	76.0	66.0	
1618511429.675781	9.951	71.0	75.0	77.0	65.0	
1618511429.7155874	9.951	72.0	75.0	76.0	66.0	
1618511429.7509458	9.851	71.0	75.0	77.0	66.0	
1618511429.7895954	9.851	70.0	75.0	77.0	66.0	
1618511429.8275516	9.851	70.0	75.0	77.0	66.0	
1618511429.8618345	9.851	71.0	75.0	77.0	66.0	
1618511429.902147	9.851	71.0	75.0	77.0	66.0	
1618511429.9369702	9.851	72.0	75.0	76.0	66.0	
1618511429.9733002	9.851	72.0	76.0	77.0	67.0	
1618511430.009675	9.851	71.0	77.0	78.0	67.0	
1618511430.0435	9.851	72.0	77.0	77.0	67.0	
1618511430.0765204	9.851	72.0	76.0	77.0	66.0	
1618511430.1135988	9.851	72.0	76.0	77.0	66.0	
1618511430.1503408	9.851	72.0	76.0	77.0	66.0	
1618511430.1838531	9.851	72.0	76.0	78.0	67.0	
1618511430.223028	9.851	72.0	76.0	78.0	67.0	
1618511430.2594686	9.851	71.0	76.0	78.0	67.0	
1618511430.2911472	9.851	72.0	76.0	78.0	66.0	
