time	W	temp4	temp5	temp6	temp7
1618468540.905976	0	59.0	59.0	64.0	56.0	
1618468540.942074	0	60.0	61.0	65.0	57.0	
1618468540.980956	0	62.0	63.0	65.0	58.0	
1618468541.0187228	0	62.0	64.0	67.0	59.0	
1618468541.0527945	0	63.0	65.0	68.0	59.0	
1618468541.0872927	0	63.0	66.0	68.0	60.0	
1618468541.1231308	0	64.0	66.0	69.0	60.0	
1618468541.1565502	0	65.0	68.0	70.0	60.0	
1618468541.1918178	0	64.0	68.0	70.0	61.0	
1618468541.2287238	0	65.0	68.0	70.0	61.0	
1618468541.2641308	7.378	67.0	69.0	71.0	62.0	
1618468541.3037465	7.378	66.0	69.0	71.0	62.0	
1618468541.3425877	7.378	66.0	70.0	71.0	62.0	
1618468541.3774743	7.378	67.0	70.0	72.0	63.0	
1618468541.4147198	7.378	65.0	71.0	72.0	63.0	
1618468541.4517734	7.378	68.0	71.0	72.0	63.0	
1618468541.4888213	7.378	68.0	71.0	73.0	63.0	
1618468541.5264432	7.378	68.0	71.0	73.0	63.0	
1618468541.5618608	7.378	69.0	72.0	73.0	63.0	
1618468541.5987592	7.378	68.0	72.0	74.0	64.0	
1618468541.6347158	7.378	69.0	72.0	74.0	64.0	
1618468541.6714513	7.378	68.0	72.0	75.0	64.0	
1618468541.7078645	7.378	68.0	73.0	74.0	65.0	
1618468541.7470324	7.378	69.0	73.0	74.0	65.0	
1618468541.7856185	7.378	68.0	73.0	73.0	64.0	
1618468541.821239	7.378	69.0	73.0	75.0	64.0	
1618468541.858185	7.378	69.0	73.0	75.0	65.0	
1618468541.8951142	7.378	69.0	74.0	75.0	64.0	
1618468541.9328082	7.378	69.0	74.0	76.0	65.0	
1618468541.970639	7.378	70.0	75.0	75.0	64.0	
1618468542.0065887	7.378	69.0	74.0	75.0	65.0	
1618468542.0445423	7.378	70.0	74.0	76.0	66.0	
1618468542.0828104	7.378	70.0	74.0	76.0	66.0	
1618468542.1180522	7.378	70.0	75.0	76.0	66.0	
1618468542.1541781	7.378	71.0	75.0	75.0	66.0	
1618468542.1919773	7.378	70.0	75.0	76.0	66.0	
1618468542.2288654	7.378	70.0	75.0	76.0	66.0	
1618468542.2662337	9.722	70.0	76.0	77.0	66.0	
1618468542.3045099	9.722	71.0	75.0	77.0	65.0	
1618468542.3412454	9.722	71.0	75.0	77.0	67.0	
1618468542.3776634	9.722	71.0	75.0	76.0	67.0	
1618468542.4154506	9.722	70.0	76.0	77.0	67.0	
1618468542.4527006	9.722	71.0	76.0	77.0	66.0	
1618468542.4868643	9.722	71.0	76.0	77.0	67.0	
1618468542.5214086	9.722	72.0	76.0	78.0	67.0	
1618468542.5589209	9.722	72.0	76.0	78.0	67.0	
1618468542.594025	9.722	71.0	76.0	78.0	67.0	
1618468542.6308265	9.722	71.0	76.0	78.0	67.0	
1618468542.666856	9.722	72.0	77.0	78.0	67.0	
1618468542.7034018	9.722	71.0	76.0	77.0	68.0	
1618468542.7391477	9.722	72.0	76.0	78.0	67.0	
1618468542.7739708	9.722	71.0	77.0	78.0	66.0	
1618468542.8098342	9.722	72.0	77.0	77.0	67.0	
1618468542.8460639	9.722	72.0	76.0	77.0	67.0	
1618468542.8807423	9.722	73.0	77.0	77.0	67.0	
1618468542.919315	9.722	72.0	77.0	77.0	68.0	
1618468542.9559739	9.722	71.0	77.0	78.0	68.0	
1618468542.9917843	9.722	73.0	76.0	78.0	67.0	
1618468543.0267994	9.722	72.0	76.0	79.0	67.0	
1618468543.0635986	9.722	72.0	77.0	79.0	68.0	
1618468543.1008067	9.722	73.0	77.0	78.0	68.0	
1618468543.1376715	9.722	73.0	77.0	78.0	68.0	
1618468543.1743872	9.722	73.0	77.0	79.0	68.0	
1618468543.2121758	9.722	73.0	77.0	79.0	69.0	
1618468543.247677	9.722	74.0	77.0	78.0	69.0	
1618468543.2864368	9.836	73.0	77.0	79.0	69.0	
1618468543.326174	9.836	73.0	77.0	79.0	69.0	
1618468543.3597019	9.836	74.0	77.0	78.0	69.0	
1618468543.3938663	9.836	73.0	77.0	78.0	69.0	
1618468543.4304957	9.836	73.0	77.0	79.0	68.0	
1618468543.4665182	9.836	74.0	78.0	79.0	69.0	
1618468543.5022795	9.836	74.0	77.0	79.0	69.0	
1618468543.5371346	9.836	74.0	77.0	80.0	68.0	
1618468543.5718064	9.836	75.0	78.0	79.0	69.0	
1618468543.609048	9.836	74.0	78.0	80.0	69.0	
1618468543.6487222	9.836	73.0	78.0	79.0	69.0	
1618468543.6830916	9.836	74.0	79.0	79.0	69.0	
1618468543.7201602	9.836	74.0	78.0	80.0	69.0	
1618468543.7536747	9.836	74.0	78.0	78.0	69.0	
1618468543.792707	9.836	73.0	78.0	80.0	70.0	
1618468543.8297203	9.836	74.0	78.0	80.0	69.0	
1618468543.867658	9.836	74.0	79.0	79.0	69.0	
1618468543.9039247	9.836	75.0	78.0	79.0	69.0	
1618468543.942105	9.836	74.0	79.0	80.0	70.0	
1618468543.9750617	9.836	75.0	78.0	79.0	70.0	
1618468544.010248	9.836	75.0	78.0	80.0	69.0	
1618468544.048771	9.836	75.0	79.0	80.0	69.0	
1618468544.086564	9.836	73.0	79.0	79.0	69.0	
1618468544.1223798	9.836	75.0	79.0	80.0	69.0	
1618468544.1594994	9.836	74.0	78.0	79.0	69.0	
1618468544.1959808	9.836	75.0	79.0	80.0	69.0	
1618468544.2313585	9.836	74.0	79.0	79.0	70.0	
1618468544.2685392	9.836	75.0	79.0	81.0	70.0	
1618468544.3039784	9.836	75.0	79.0	80.0	70.0	
1618468544.3425107	9.977	75.0	79.0	80.0	70.0	
1618468544.3790302	9.977	74.0	79.0	80.0	70.0	
1618468544.4170752	9.977	75.0	79.0	80.0	70.0	
1618468544.4511251	9.977	74.0	79.0	81.0	70.0	
1618468544.4844584	9.977	76.0	80.0	81.0	70.0	
1618468544.5184247	9.977	75.0	80.0	81.0	71.0	
1618468544.5532298	9.977	74.0	79.0	81.0	71.0	
1618468544.588144	9.977	75.0	80.0	81.0	71.0	
1618468544.625014	9.977	75.0	80.0	80.0	71.0	
1618468544.6596737	9.977	76.0	80.0	81.0	71.0	
1618468544.6957953	9.977	75.0	80.0	81.0	70.0	
1618468544.7322018	9.977	76.0	80.0	81.0	70.0	
1618468544.766607	9.977	76.0	80.0	81.0	71.0	
1618468544.8040946	9.977	75.0	80.0	81.0	70.0	
1618468544.839167	9.977	75.0	80.0	80.0	71.0	
1618468544.875459	9.977	75.0	80.0	82.0	70.0	
1618468544.9094565	9.977	76.0	80.0	81.0	70.0	
1618468544.9467785	9.977	76.0	80.0	81.0	70.0	
1618468544.982619	9.977	75.0	80.0	80.0	70.0	
1618468545.0194883	9.977	76.0	80.0	82.0	70.0	
1618468545.0567913	9.977	76.0	80.0	82.0	70.0	
1618468545.0925663	9.977	76.0	80.0	81.0	71.0	
1618468545.1284108	9.977	77.0	80.0	82.0	70.0	
1618468545.1662714	9.977	75.0	80.0	82.0	70.0	
1618468545.1984808	9.977	77.0	81.0	82.0	70.0	
1618468545.2331438	10.061	76.0	81.0	82.0	71.0	
1618468545.2707863	10.061	76.0	81.0	82.0	70.0	
1618468545.3089478	10.061	75.0	81.0	81.0	71.0	
1618468545.3447492	10.061	76.0	81.0	82.0	70.0	
1618468545.3785868	10.061	76.0	80.0	82.0	71.0	
1618468545.41565	10.061	76.0	81.0	81.0	71.0	
1618468545.450216	10.061	77.0	81.0	81.0	72.0	
1618468545.4860094	10.061	76.0	81.0	82.0	71.0	
1618468545.5212722	10.061	77.0	81.0	81.0	72.0	
1618468545.5589116	10.061	77.0	80.0	81.0	71.0	
1618468545.5931652	10.061	78.0	81.0	81.0	71.0	
1618468545.62672	10.061	77.0	80.0	81.0	72.0	
1618468545.6611838	10.061	77.0	81.0	81.0	72.0	
1618468545.7007663	10.061	76.0	81.0	82.0	71.0	
1618468545.7378201	10.061	76.0	81.0	82.0	71.0	
1618468545.77449	10.061	76.0	80.0	82.0	71.0	
1618468545.8158855	10.061	75.0	81.0	81.0	71.0	
1618468545.8518503	10.061	75.0	81.0	82.0	70.0	
1618468545.887028	10.061	76.0	81.0	82.0	71.0	
1618468545.9224527	10.061	77.0	81.0	81.0	72.0	
1618468545.9585538	10.061	76.0	81.0	82.0	72.0	
1618468545.9957972	10.061	76.0	81.0	81.0	71.0	
1618468546.0340152	10.061	77.0	81.0	82.0	72.0	
1618468546.0682867	10.061	76.0	81.0	82.0	71.0	
1618468546.1025133	10.061	76.0	81.0	81.0	72.0	
1618468546.1389203	10.061	76.0	81.0	82.0	72.0	
1618468546.1733162	10.061	77.0	82.0	83.0	71.0	
1618468546.2091053	10.061	76.0	81.0	83.0	71.0	
1618468546.24404	10.061	77.0	81.0	83.0	71.0	
1618468546.2826786	10.061	77.0	81.0	82.0	71.0	
1618468546.321291	10.061	76.0	81.0	82.0	71.0	
1618468546.3593097	10.13	76.0	81.0	81.0	71.0	
1618468546.3966005	10.13	77.0	81.0	82.0	71.0	
1618468546.4330218	10.13	77.0	81.0	83.0	71.0	
1618468546.4681656	10.13	77.0	80.0	82.0	71.0	
1618468546.504321	10.13	77.0	80.0	82.0	72.0	
1618468546.5396059	10.13	76.0	81.0	83.0	72.0	
1618468546.576129	10.13	77.0	81.0	83.0	72.0	
1618468546.6130424	10.13	77.0	81.0	83.0	72.0	
1618468546.6447277	10.13	78.0	81.0	83.0	72.0	
1618468546.6809394	10.13	76.0	82.0	82.0	72.0	
1618468546.7186644	10.13	76.0	81.0	82.0	71.0	
1618468546.7555463	10.13	77.0	82.0	83.0	72.0	
1618468546.792775	10.13	76.0	82.0	82.0	72.0	
1618468546.8312218	10.13	78.0	82.0	82.0	71.0	
1618468546.8689313	10.13	77.0	81.0	82.0	72.0	
1618468546.9045513	10.13	78.0	81.0	82.0	72.0	
1618468546.9436588	10.13	78.0	81.0	82.0	71.0	
1618468546.9787366	10.13	76.0	81.0	83.0	72.0	
1618468547.0126636	10.13	77.0	82.0	83.0	72.0	
1618468547.0460675	10.13	77.0	82.0	82.0	71.0	
1618468547.0835483	10.13	77.0	82.0	82.0	72.0	
1618468547.1218314	10.13	77.0	81.0	82.0	71.0	
1618468547.1557977	10.13	78.0	81.0	82.0	72.0	
1618468547.1933734	10.13	77.0	81.0	82.0	72.0	
1618468547.2282944	10.13	77.0	82.0	82.0	72.0	
1618468547.2637606	10.13	78.0	82.0	82.0	72.0	
1618468547.2996824	9.893	78.0	81.0	82.0	72.0	
1618468547.3378656	9.893	77.0	81.0	83.0	72.0	
1618468547.3731978	9.893	77.0	82.0	83.0	72.0	
1618468547.40787	9.893	77.0	82.0	83.0	72.0	
1618468547.4476073	9.893	78.0	82.0	83.0	72.0	
1618468547.4866195	9.893	76.0	82.0	83.0	72.0	
1618468547.5205941	9.893	77.0	81.0	82.0	72.0	
1618468547.555903	9.893	78.0	82.0	83.0	73.0	
1618468547.5919466	9.893	78.0	82.0	83.0	72.0	
1618468547.6328368	9.893	77.0	82.0	82.0	72.0	
1618468547.6683795	9.893	78.0	81.0	83.0	72.0	
1618468547.7043402	9.893	77.0	82.0	83.0	73.0	
1618468547.7400978	9.893	78.0	82.0	83.0	72.0	
1618468547.7804763	9.893	77.0	82.0	82.0	72.0	
1618468547.8188012	9.893	77.0	82.0	83.0	71.0	
1618468547.8532586	9.893	77.0	82.0	84.0	72.0	
1618468547.889079	9.893	77.0	82.0	83.0	72.0	
1618468547.9255598	9.893	77.0	82.0	83.0	72.0	
1618468547.960175	9.893	78.0	82.0	83.0	73.0	
1618468547.994945	9.893	78.0	81.0	83.0	72.0	
1618468548.0279822	9.893	77.0	82.0	84.0	73.0	
1618468548.0650673	9.893	77.0	82.0	84.0	73.0	
1618468548.1005206	9.893	76.0	82.0	84.0	73.0	
1618468548.1366487	9.893	77.0	82.0	84.0	72.0	
1618468548.1707253	9.893	78.0	83.0	83.0	73.0	
1618468548.2075217	9.893	78.0	82.0	83.0	72.0	
1618468548.2459812	9.893	78.0	82.0	82.0	73.0	
1618468548.2831764	9.893	78.0	82.0	83.0	73.0	
1618468548.3193548	10.283	78.0	82.0	83.0	73.0	
1618468548.3578632	10.283	77.0	83.0	83.0	72.0	
1618468548.3924081	10.283	77.0	83.0	83.0	73.0	
1618468548.4279678	10.283	78.0	83.0	83.0	72.0	
