time	W	temp4	temp5	temp6	temp7
1618508320.5995257	0	55.0	55.0	58.0	53.0	
1618508320.6577172	0	58.0	59.0	61.0	54.0	
1618508320.7169156	0	59.0	61.0	63.0	55.0	
1618508320.7745962	0	60.0	63.0	65.0	57.0	
1618508320.832635	0	62.0	64.0	66.0	57.0	
1618508320.8892121	6.42	62.0	65.0	67.0	58.0	
1618508320.945894	6.42	63.0	66.0	68.0	59.0	
1618508321.0011642	6.42	63.0	67.0	69.0	59.0	
1618508321.0576012	6.42	64.0	68.0	69.0	59.0	
1618508321.112182	6.42	65.0	69.0	70.0	60.0	
1618508321.173834	6.42	65.0	69.0	71.0	60.0	
1618508321.2319658	6.42	65.0	70.0	71.0	61.0	
1618508321.289478	6.42	65.0	70.0	71.0	61.0	
1618508321.3463285	6.42	66.0	71.0	72.0	62.0	
1618508321.4053867	6.42	65.0	71.0	72.0	62.0	
1618508321.461129	6.42	67.0	72.0	73.0	62.0	
1618508321.52535	6.42	66.0	71.0	72.0	61.0	
1618508321.5826192	6.42	67.0	72.0	73.0	62.0	
1618508321.645953	6.42	66.0	71.0	72.0	62.0	
1618508321.7026324	6.42	67.0	72.0	73.0	63.0	
1618508321.762037	10.691	68.0	72.0	73.0	63.0	
1618508321.8210428	10.691	68.0	73.0	73.0	63.0	
1618508321.8770423	10.691	68.0	73.0	74.0	63.0	
1618508321.9329984	10.691	68.0	74.0	74.0	63.0	
1618508321.9936447	10.691	68.0	73.0	74.0	63.0	
1618508322.0525246	10.691	68.0	74.0	75.0	64.0	
1618508322.1134298	10.691	68.0	74.0	75.0	63.0	
1618508322.1691577	10.691	69.0	74.0	75.0	64.0	
1618508322.2258618	10.691	69.0	74.0	76.0	64.0	
1618508322.2825177	10.691	70.0	75.0	75.0	65.0	
1618508322.3409371	10.691	70.0	75.0	75.0	65.0	
1618508322.3979416	10.691	70.0	75.0	76.0	65.0	
1618508322.4540336	10.691	70.0	75.0	76.0	65.0	
1618508322.5103705	10.691	70.0	76.0	77.0	65.0	
1618508322.5658388	10.691	70.0	76.0	77.0	65.0	
1618508322.6258762	10.691	71.0	76.0	76.0	64.0	
1618508322.684541	10.691	70.0	76.0	77.0	65.0	
1618508322.739899	10.691	71.0	76.0	77.0	66.0	
1618508322.7973967	10.989	71.0	76.0	77.0	66.0	
1618508322.8537433	10.989	71.0	76.0	77.0	66.0	
1618508322.9151585	10.989	71.0	76.0	77.0	65.0	
1618508322.972446	10.989	70.0	76.0	77.0	66.0	
1618508323.0309036	10.989	71.0	76.0	78.0	67.0	
1618508323.0869806	10.989	72.0	77.0	78.0	67.0	
1618508323.1471684	10.989	72.0	76.0	78.0	66.0	
1618508323.2071319	10.989	71.0	77.0	78.0	66.0	
1618508323.2695837	10.989	71.0	76.0	77.0	66.0	
1618508323.3249807	10.989	72.0	76.0	78.0	67.0	
1618508323.3804975	10.989	72.0	77.0	79.0	67.0	
1618508323.4416373	10.989	71.0	77.0	78.0	66.0	
1618508323.4980257	10.989	72.0	77.0	78.0	67.0	
1618508323.5559359	10.989	72.0	77.0	78.0	67.0	
1618508323.6169987	10.989	72.0	77.0	77.0	67.0	
1618508323.6740286	10.989	72.0	77.0	78.0	67.0	
1618508323.7284591	10.5	72.0	78.0	79.0	67.0	
1618508323.7844167	10.5	72.0	78.0	79.0	68.0	
1618508323.8419275	10.5	72.0	78.0	79.0	67.0	
1618508323.896366	10.5	73.0	78.0	79.0	68.0	
1618508323.9534333	10.5	73.0	78.0	80.0	68.0	
1618508324.0082297	10.5	73.0	79.0	80.0	68.0	
1618508324.0663466	10.5	73.0	78.0	80.0	68.0	
1618508324.1260903	10.5	73.0	78.0	79.0	68.0	
1618508324.1828005	10.5	73.0	78.0	79.0	68.0	
1618508324.241322	10.5	73.0	78.0	79.0	68.0	
1618508324.2964191	10.5	74.0	79.0	80.0	68.0	
1618508324.3523204	10.5	73.0	79.0	80.0	69.0	
1618508324.4094627	10.5	73.0	79.0	80.0	68.0	
1618508324.4656303	10.5	73.0	79.0	80.0	69.0	
1618508324.5231147	10.5	73.0	79.0	80.0	69.0	
1618508324.5833132	10.5	73.0	79.0	80.0	68.0	
1618508324.641598	10.5	74.0	79.0	80.0	69.0	
1618508324.707548	10.5	73.0	78.0	79.0	67.0	
1618508324.7655222	11.21	73.0	79.0	80.0	69.0	
1618508324.8212693	11.21	73.0	79.0	80.0	69.0	
1618508324.8809414	11.21	74.0	79.0	80.0	69.0	
1618508324.9360018	11.21	74.0	79.0	81.0	69.0	
1618508324.9946342	11.21	73.0	79.0	80.0	69.0	
1618508325.0513446	11.21	74.0	80.0	81.0	69.0	
1618508325.108954	11.21	74.0	79.0	81.0	69.0	
1618508325.165118	11.21	74.0	79.0	81.0	69.0	
1618508325.220301	11.21	74.0	80.0	81.0	69.0	
1618508325.2765825	11.21	74.0	80.0	81.0	69.0	
1618508325.3337042	11.21	74.0	80.0	81.0	69.0	
1618508325.3889105	11.21	74.0	80.0	81.0	69.0	
1618508325.4452767	11.21	74.0	80.0	81.0	69.0	
1618508325.5086462	11.21	73.0	79.0	81.0	69.0	
1618508325.5642765	11.21	74.0	80.0	81.0	69.0	
1618508325.6218414	11.21	74.0	80.0	81.0	69.0	
1618508325.677454	11.21	74.0	80.0	81.0	69.0	
1618508325.7335865	11.21	74.0	80.0	81.0	69.0	
1618508325.7906609	10.954	74.0	80.0	81.0	70.0	
1618508325.8438313	10.954	75.0	80.0	82.0	70.0	
1618508325.903337	10.954	75.0	81.0	81.0	70.0	
1618508325.956427	10.954	75.0	81.0	82.0	70.0	
1618508326.0158932	10.954	75.0	80.0	82.0	70.0	
1618508326.0737967	10.954	75.0	81.0	81.0	69.0	
1618508326.130094	10.954	75.0	81.0	82.0	70.0	
1618508326.186697	10.954	75.0	81.0	82.0	70.0	
1618508326.242316	10.954	75.0	81.0	82.0	70.0	
1618508326.2954679	10.954	75.0	81.0	82.0	70.0	
1618508326.3493202	10.954	76.0	82.0	82.0	70.0	
1618508326.402805	10.954	76.0	81.0	83.0	71.0	
1618508326.4595098	10.954	75.0	81.0	82.0	71.0	
1618508326.514363	10.954	76.0	81.0	82.0	70.0	
1618508326.5686831	10.954	76.0	82.0	82.0	70.0	
1618508326.621826	10.954	76.0	82.0	83.0	70.0	
1618508326.6827533	10.954	75.0	81.0	82.0	70.0	
1618508326.7375567	10.954	75.0	81.0	82.0	71.0	
1618508326.79228	11.454	76.0	82.0	82.0	71.0	
1618508326.8472245	11.454	75.0	82.0	82.0	71.0	
1618508326.9006388	11.454	76.0	82.0	83.0	71.0	
1618508326.9528353	11.454	76.0	82.0	83.0	71.0	
1618508327.010894	11.454	75.0	82.0	82.0	71.0	
1618508327.0656323	11.454	75.0	82.0	83.0	71.0	
1618508327.119431	11.454	76.0	82.0	83.0	71.0	
1618508327.1736183	11.454	76.0	82.0	83.0	71.0	
1618508327.2320225	11.454	76.0	82.0	83.0	71.0	
1618508327.2858284	11.454	76.0	82.0	83.0	71.0	
1618508327.3402214	11.454	76.0	82.0	83.0	71.0	
1618508327.3945827	11.454	75.0	82.0	83.0	71.0	
1618508327.4480124	11.454	77.0	83.0	83.0	71.0	
1618508327.5025277	11.454	76.0	82.0	84.0	71.0	
1618508327.5612755	11.454	76.0	82.0	83.0	71.0	
1618508327.6164086	11.454	76.0	82.0	83.0	71.0	
1618508327.6695182	11.454	76.0	83.0	83.0	71.0	
1618508327.7255723	11.565	77.0	82.0	83.0	71.0	
1618508327.7818196	11.565	76.0	82.0	84.0	71.0	
1618508327.8379543	11.565	76.0	82.0	83.0	71.0	
1618508327.8927722	11.565	77.0	82.0	84.0	72.0	
1618508327.9455817	11.565	77.0	83.0	84.0	72.0	
1618508327.9994833	11.565	77.0	83.0	84.0	72.0	
1618508328.053699	11.565	77.0	83.0	84.0	72.0	
1618508328.1083443	11.565	77.0	83.0	83.0	71.0	
1618508328.1615016	11.565	77.0	83.0	84.0	72.0	
1618508328.2171535	11.565	77.0	82.0	84.0	71.0	
1618508328.2716446	11.565	77.0	83.0	84.0	72.0	
1618508328.330271	11.565	77.0	83.0	84.0	71.0	
1618508328.3856568	11.565	77.0	83.0	84.0	71.0	
1618508328.4421866	11.565	77.0	83.0	84.0	72.0	
1618508328.4970782	11.565	77.0	83.0	84.0	72.0	
1618508328.5637765	11.565	76.0	82.0	83.0	70.0	
1618508328.6265311	11.565	77.0	82.0	83.0	71.0	
1618508328.6839848	11.565	77.0	82.0	83.0	70.0	
1618508328.7403393	10.905	77.0	83.0	82.0	71.0	
1618508328.7943265	10.905	77.0	83.0	84.0	72.0	
1618508328.8494549	10.905	77.0	83.0	83.0	72.0	
1618508328.9033659	10.905	77.0	83.0	84.0	72.0	
1618508328.9597251	10.905	77.0	83.0	84.0	72.0	
1618508329.0159762	10.905	77.0	83.0	84.0	72.0	
1618508329.0699353	10.905	77.0	83.0	84.0	72.0	
1618508329.1287856	10.905	77.0	82.0	84.0	71.0	
1618508329.185285	10.905	77.0	83.0	84.0	72.0	
1618508329.2387161	10.905	77.0	83.0	84.0	72.0	
1618508329.2931085	10.905	77.0	83.0	84.0	72.0	
1618508329.3481305	10.905	77.0	83.0	84.0	73.0	
1618508329.4015675	10.905	78.0	83.0	84.0	72.0	
1618508329.4567595	10.905	78.0	84.0	85.0	72.0	
1618508329.513639	10.905	77.0	83.0	83.0	72.0	
1618508329.5789425	10.905	75.0	82.0	83.0	71.0	
1618508329.6318574	10.905	77.0	83.0	84.0	72.0	
1618508329.688229	10.905	78.0	83.0	83.0	72.0	
1618508329.7408218	10.905	77.0	83.0	84.0	72.0	
1618508329.7970672	11.057	78.0	83.0	84.0	73.0	
1618508329.853011	11.057	77.0	84.0	84.0	72.0	
1618508329.9063764	11.057	78.0	84.0	84.0	73.0	
1618508329.9606254	11.057	78.0	84.0	85.0	72.0	
1618508330.0149229	11.057	78.0	84.0	84.0	73.0	
1618508330.0693843	11.057	78.0	84.0	85.0	73.0	
1618508330.1234443	11.057	78.0	84.0	85.0	73.0	
1618508330.1788733	11.057	78.0	84.0	85.0	73.0	
1618508330.232487	11.057	78.0	84.0	85.0	73.0	
1618508330.2899663	11.057	77.0	84.0	85.0	72.0	
1618508330.3460038	11.057	77.0	83.0	84.0	72.0	
1618508330.4025347	11.057	76.0	82.0	83.0	72.0	
1618508330.460572	11.057	76.0	82.0	83.0	71.0	
1618508330.5204184	11.057	75.0	81.0	82.0	71.0	
1618508330.578161	11.057	77.0	82.0	83.0	72.0	
1618508330.6319857	11.057	77.0	82.0	84.0	72.0	
1618508330.6871047	11.057	77.0	83.0	84.0	72.0	
1618508330.7421515	11.057	77.0	83.0	84.0	72.0	
1618508330.7973504	10.275	78.0	83.0	84.0	72.0	
1618508330.8523746	10.275	78.0	83.0	85.0	73.0	
1618508330.9055529	10.275	78.0	83.0	85.0	73.0	
1618508330.9614575	10.275	78.0	84.0	84.0	72.0	
1618508331.0166302	10.275	78.0	84.0	85.0	72.0	
1618508331.0715754	10.275	77.0	84.0	84.0	72.0	
1618508331.1283884	10.275	76.0	83.0	84.0	72.0	
1618508331.1880438	10.275	76.0	82.0	82.0	71.0	
1618508331.2465081	10.275	75.0	81.0	82.0	71.0	
1618508331.302963	10.275	75.0	81.0	82.0	71.0	
1618508331.3585875	10.275	77.0	82.0	83.0	72.0	
1618508331.4133937	10.275	77.0	83.0	83.0	72.0	
1618508331.4694614	10.275	77.0	83.0	84.0	72.0	
1618508331.5264013	10.275	78.0	83.0	84.0	72.0	
1618508331.5842316	10.275	77.0	83.0	84.0	72.0	
1618508331.6374555	10.275	78.0	83.0	84.0	72.0	
1618508331.6983402	11.298	77.0	82.0	83.0	72.0	
1618508331.7530465	11.298	77.0	83.0	85.0	73.0	
1618508331.8096507	11.298	77.0	84.0	84.0	73.0	
1618508331.8639145	11.298	78.0	84.0	84.0	72.0	
1618508331.9224222	11.298	78.0	84.0	85.0	73.0	
1618508331.9772556	11.298	78.0	84.0	84.0	73.0	
1618508332.0331593	11.298	78.0	84.0	85.0	73.0	
1618508332.0920482	11.298	77.0	83.0	83.0	72.0	
1618508332.1486595	11.298	77.0	82.0	83.0	72.0	
1618508332.206643	11.298	76.0	82.0	83.0	71.0	
1618508332.2649424	11.298	76.0	82.0	81.0	71.0	
1618508332.3215365	11.298	76.0	81.0	82.0	71.0	
1618508332.3767064	11.298	77.0	82.0	83.0	72.0	
1618508332.4298763	11.298	77.0	83.0	84.0	72.0	
1618508332.4852762	11.298	78.0	83.0	84.0	73.0	
1618508332.5401258	11.298	78.0	84.0	84.0	73.0	
1618508332.5975413	11.298	77.0	84.0	84.0	72.0	
1618508332.6526759	11.298	78.0	84.0	84.0	73.0	
1618508332.7095897	11.298	77.0	84.0	85.0	72.0	
1618508332.7663755	10.424	78.0	84.0	85.0	72.0	
1618508332.8233688	10.424	77.0	84.0	85.0	73.0	
1618508332.8788607	10.424	77.0	83.0	84.0	72.0	
1618508332.9351575	10.424	77.0	83.0	84.0	72.0	
1618508332.9909818	10.424	76.0	82.0	83.0	72.0	
1618508333.0467803	10.424	76.0	82.0	83.0	72.0	
1618508333.1024008	10.424	75.0	82.0	83.0	71.0	
1618508333.1572242	10.424	77.0	83.0	84.0	72.0	
1618508333.2123928	10.424	78.0	83.0	84.0	72.0	
1618508333.2709353	10.424	77.0	83.0	85.0	72.0	
1618508333.3241205	10.424	78.0	84.0	85.0	73.0	
1618508333.3811147	10.424	77.0	83.0	84.0	72.0	
1618508333.4373734	10.424	77.0	82.0	84.0	72.0	
1618508333.4979012	10.424	75.0	82.0	83.0	71.0	
1618508333.555142	10.424	76.0	82.0	83.0	71.0	
1618508333.6135135	10.424	76.0	81.0	83.0	71.0	
1618508333.667626	10.424	77.0	82.0	84.0	72.0	
1618508333.724166	10.424	76.0	83.0	84.0	72.0	
1618508333.7785628	10.367	78.0	83.0	84.0	72.0	
1618508333.8365645	10.367	77.0	83.0	84.0	72.0	
1618508333.8912175	10.367	77.0	83.0	84.0	72.0	
1618508333.952383	10.367	77.0	82.0	83.0	72.0	
1618508334.0102656	10.367	76.0	82.0	83.0	71.0	
1618508334.0762959	10.367	75.0	81.0	82.0	70.0	
1618508334.1317334	10.367	76.0	81.0	82.0	71.0	
1618508334.1926744	10.367	77.0	82.0	83.0	71.0	
1618508334.2498746	10.367	77.0	82.0	83.0	71.0	
1618508334.3085747	10.367	76.0	83.0	83.0	72.0	
1618508334.3621893	10.367	77.0	83.0	84.0	72.0	
1618508334.4176493	10.367	78.0	83.0	84.0	73.0	
1618508334.472725	10.367	78.0	84.0	85.0	73.0	
1618508334.5302806	10.367	78.0	84.0	85.0	73.0	
1618508334.585265	10.367	78.0	84.0	85.0	73.0	
1618508334.6420221	10.367	78.0	84.0	85.0	73.0	
1618508334.6978958	10.367	78.0	84.0	85.0	73.0	
1618508334.7551394	10.367	78.0	84.0	85.0	73.0	
1618508334.8078291	11.615	79.0	85.0	85.0	73.0	
1618508334.8659294	11.615	78.0	84.0	86.0	73.0	
1618508334.9232526	11.615	77.0	84.0	85.0	73.0	
1618508334.9823425	11.615	77.0	83.0	84.0	72.0	
1618508335.0384474	11.615	77.0	83.0	84.0	72.0	
1618508335.0985467	11.615	76.0	82.0	83.0	72.0	
1618508335.1545556	11.615	76.0	82.0	83.0	72.0	
