time	W	temp4	temp5	temp6	temp7
1618509773.9312422	0	57.0	59.0	62.0	55.0	
1618509773.9942334	0	60.0	62.0	65.0	57.0	
1618509774.0520294	0	62.0	64.0	67.0	58.0	
1618509774.107685	0	63.0	66.0	68.0	59.0	
1618509774.1657436	0	64.0	67.0	69.0	60.0	
1618509774.2218077	0	65.0	69.0	70.0	61.0	
1618509774.280388	0	66.0	69.0	71.0	61.0	
1618509774.3368807	0	66.0	70.0	71.0	62.0	
1618509774.3956952	0	66.0	71.0	72.0	62.0	
1618509774.45213	0	67.0	71.0	73.0	63.0	
1618509774.5093613	0	67.0	72.0	73.0	63.0	
1618509774.5673547	0	68.0	72.0	73.0	64.0	
1618509774.6254966	0	69.0	72.0	74.0	64.0	
1618509774.6832538	0	69.0	73.0	74.0	64.0	
1618509774.7420356	10.932	69.0	74.0	75.0	64.0	
1618509774.8009622	10.932	69.0	74.0	75.0	64.0	
1618509774.8586433	10.932	70.0	74.0	76.0	65.0	
1618509774.9131422	10.932	70.0	75.0	76.0	65.0	
1618509774.9696872	10.932	70.0	75.0	76.0	65.0	
1618509775.0260165	10.932	70.0	75.0	77.0	66.0	
1618509775.0828042	10.932	71.0	76.0	77.0	66.0	
1618509775.1378179	10.932	71.0	76.0	77.0	66.0	
1618509775.1946647	10.932	71.0	76.0	77.0	66.0	
1618509775.254463	10.932	71.0	76.0	77.0	66.0	
1618509775.3108575	10.932	71.0	77.0	77.0	67.0	
1618509775.3654633	10.932	72.0	77.0	78.0	67.0	
1618509775.4210238	10.932	72.0	77.0	79.0	67.0	
1618509775.4755461	10.932	72.0	78.0	79.0	67.0	
1618509775.5390525	10.932	71.0	77.0	78.0	67.0	
1618509775.5981753	10.932	72.0	77.0	78.0	67.0	
1618509775.6557395	10.932	72.0	78.0	79.0	67.0	
1618509775.712457	10.932	73.0	78.0	79.0	67.0	
1618509775.7673562	11.168	73.0	78.0	79.0	68.0	
1618509775.8268106	11.168	73.0	78.0	79.0	68.0	
1618509775.8818915	11.168	73.0	79.0	80.0	68.0	
1618509775.9387991	11.168	73.0	79.0	79.0	69.0	
1618509775.9970553	11.168	73.0	79.0	80.0	69.0	
1618509776.0588791	11.168	73.0	78.0	80.0	68.0	
1618509776.1159847	11.168	73.0	79.0	78.0	68.0	
1618509776.1744678	11.168	73.0	79.0	80.0	68.0	
1618509776.2296588	11.168	74.0	79.0	80.0	69.0	
1618509776.28637	11.168	74.0	80.0	80.0	69.0	
1618509776.34234	11.168	74.0	80.0	81.0	69.0	
1618509776.3988686	11.168	74.0	80.0	81.0	69.0	
1618509776.456296	11.168	74.0	80.0	81.0	69.0	
1618509776.5142477	11.168	74.0	80.0	81.0	70.0	
1618509776.5704904	11.168	75.0	80.0	81.0	70.0	
1618509776.6265252	11.168	75.0	80.0	81.0	70.0	
1618509776.688783	11.168	74.0	80.0	81.0	70.0	
1618509776.7479022	11.168	75.0	80.0	81.0	69.0	
1618509776.8038285	11.432	75.0	80.0	81.0	70.0	
1618509776.8608627	11.432	75.0	81.0	81.0	70.0	
1618509776.91803	11.432	75.0	81.0	82.0	70.0	
1618509776.971276	11.432	75.0	81.0	82.0	70.0	
1618509777.027293	11.432	75.0	81.0	82.0	71.0	
1618509777.082342	11.432	75.0	82.0	82.0	71.0	
1618509777.139216	11.432	75.0	81.0	82.0	71.0	
1618509777.1941962	11.432	75.0	82.0	82.0	71.0	
1618509777.2523856	11.432	76.0	81.0	82.0	71.0	
1618509777.3091164	11.432	76.0	81.0	82.0	71.0	
1618509777.3670018	11.432	76.0	82.0	82.0	71.0	
1618509777.422584	11.432	76.0	82.0	83.0	70.0	
1618509777.4812114	11.432	76.0	82.0	83.0	71.0	
1618509777.5386631	11.432	76.0	82.0	83.0	71.0	
1618509777.5952482	11.432	76.0	82.0	83.0	71.0	
1618509777.6509624	11.432	77.0	82.0	83.0	71.0	
1618509777.7073712	11.432	77.0	82.0	83.0	71.0	
1618509777.7646966	11.432	77.0	82.0	83.0	71.0	
1618509777.8213947	11.432	77.0	83.0	83.0	71.0	
1618509777.8779953	11.432	77.0	82.0	84.0	72.0	
1618509777.934912	11.432	76.0	83.0	84.0	72.0	
1618509777.9908032	11.432	77.0	83.0	84.0	72.0	
1618509778.0464501	11.432	77.0	83.0	84.0	72.0	
1618509778.1009867	11.546	77.0	83.0	84.0	72.0	
1618509778.1581378	11.546	77.0	83.0	84.0	72.0	
1618509778.2222557	11.546	77.0	82.0	84.0	71.0	
1618509778.278257	11.546	77.0	83.0	84.0	72.0	
1618509778.33295	11.546	77.0	83.0	84.0	72.0	
1618509778.3901668	11.546	77.0	83.0	84.0	72.0	
1618509778.4453497	11.546	77.0	83.0	84.0	72.0	
1618509778.5018642	11.546	77.0	83.0	84.0	72.0	
1618509778.5613823	11.546	77.0	83.0	84.0	72.0	
1618509778.6180093	11.546	77.0	83.0	84.0	72.0	
1618509778.6757886	11.546	77.0	83.0	84.0	72.0	
1618509778.7339692	11.336	78.0	83.0	84.0	72.0	
1618509778.79279	11.336	78.0	83.0	84.0	72.0	
1618509778.8492825	11.336	78.0	83.0	84.0	72.0	
1618509778.905647	11.336	77.0	83.0	83.0	72.0	
1618509778.961489	11.336	78.0	84.0	84.0	73.0	
1618509779.0180948	11.336	78.0	84.0	84.0	73.0	
1618509779.0755072	11.336	77.0	84.0	85.0	73.0	
1618509779.1323383	11.336	77.0	84.0	85.0	73.0	
1618509779.1903698	11.336	77.0	83.0	84.0	72.0	
1618509779.25063	11.336	76.0	82.0	83.0	71.0	
1618509779.310201	11.336	76.0	82.0	82.0	71.0	
1618509779.3702965	11.336	76.0	81.0	82.0	71.0	
1618509779.4262922	11.336	76.0	82.0	83.0	71.0	
1618509779.482016	11.336	77.0	83.0	83.0	72.0	
1618509779.5415661	11.336	77.0	83.0	83.0	72.0	
1618509779.5992122	11.336	77.0	83.0	83.0	72.0	
1618509779.6581752	11.336	77.0	83.0	84.0	72.0	
1618509779.7140772	11.336	78.0	83.0	83.0	72.0	
1618509779.7710607	10.794	78.0	83.0	84.0	72.0	
1618509779.82592	10.794	78.0	84.0	85.0	73.0	
1618509779.8846924	10.794	78.0	84.0	84.0	73.0	
1618509779.942109	10.794	78.0	84.0	85.0	73.0	
1618509779.9987266	10.794	78.0	84.0	84.0	73.0	
1618509780.056085	10.794	78.0	84.0	85.0	73.0	
1618509780.1117613	10.794	79.0	84.0	85.0	73.0	
1618509780.1668203	10.794	79.0	84.0	85.0	73.0	
1618509780.2306328	10.794	77.0	83.0	84.0	72.0	
1618509780.290587	10.794	76.0	82.0	83.0	72.0	
1618509780.34841	10.794	76.0	82.0	83.0	72.0	
1618509780.4101176	10.794	75.0	82.0	82.0	71.0	
1618509780.466945	10.794	77.0	82.0	83.0	72.0	
1618509780.5231452	10.794	77.0	83.0	84.0	72.0	
1618509780.5833523	10.794	78.0	83.0	82.0	72.0	
1618509780.6412628	10.794	78.0	83.0	84.0	73.0	
1618509780.703312	10.794	77.0	83.0	84.0	72.0	
1618509780.7625318	10.794	77.0	83.0	84.0	73.0	
1618509780.8211594	11.031	78.0	84.0	84.0	72.0	
1618509780.8782527	11.031	78.0	84.0	85.0	73.0	
1618509780.9338782	11.031	78.0	84.0	85.0	73.0	
1618509780.992076	11.031	77.0	83.0	84.0	72.0	
1618509781.0511806	11.031	77.0	83.0	84.0	72.0	
1618509781.1080391	11.031	76.0	82.0	83.0	72.0	
1618509781.1660376	11.031	76.0	82.0	83.0	72.0	
1618509781.2259161	11.031	77.0	82.0	83.0	72.0	
1618509781.2826345	11.031	77.0	83.0	84.0	73.0	
1618509781.3386207	11.031	78.0	84.0	84.0	73.0	
1618509781.3961825	11.031	78.0	84.0	85.0	73.0	
1618509781.4523997	11.031	78.0	84.0	85.0	73.0	
1618509781.5099006	11.031	77.0	83.0	84.0	73.0	
1618509781.5756729	11.031	76.0	82.0	83.0	72.0	
1618509781.6342015	11.031	77.0	82.0	83.0	72.0	
1618509781.6931443	11.031	76.0	82.0	83.0	72.0	
1618509781.7495248	11.031	77.0	82.0	84.0	72.0	
1618509781.8093085	11.336	77.0	83.0	83.0	72.0	
1618509781.8669734	11.336	78.0	83.0	84.0	73.0	
1618509781.9217374	11.336	78.0	84.0	85.0	73.0	
1618509781.9806867	11.336	78.0	83.0	84.0	73.0	
1618509782.0382214	11.336	79.0	84.0	85.0	73.0	
1618509782.0956762	11.336	78.0	84.0	84.0	74.0	
1618509782.1496007	11.336	79.0	85.0	85.0	74.0	
1618509782.2068899	11.336	79.0	84.0	85.0	74.0	
1618509782.2642016	11.336	78.0	84.0	85.0	73.0	
1618509782.3230495	11.336	77.0	83.0	84.0	73.0	
1618509782.3825312	11.336	77.0	83.0	83.0	72.0	
1618509782.4419444	11.336	77.0	82.0	83.0	72.0	
1618509782.4987574	11.336	78.0	83.0	84.0	72.0	
1618509782.5583549	11.336	77.0	83.0	85.0	73.0	
1618509782.6132672	11.336	78.0	84.0	85.0	73.0	
1618509782.6698892	11.336	79.0	84.0	85.0	73.0	
1618509782.7298682	10.703	78.0	84.0	84.0	73.0	
1618509782.7906737	10.703	78.0	83.0	84.0	73.0	
1618509782.8477626	10.703	77.0	83.0	84.0	73.0	
1618509782.9071534	10.703	77.0	83.0	84.0	72.0	
1618509782.9668324	10.703	77.0	82.0	83.0	72.0	
1618509783.0262332	10.703	77.0	83.0	84.0	72.0	
1618509783.081572	10.703	78.0	84.0	85.0	73.0	
1618509783.137608	10.703	79.0	84.0	85.0	73.0	
1618509783.1937451	10.703	79.0	84.0	85.0	74.0	
1618509783.2542627	10.703	79.0	84.0	84.0	73.0	
1618509783.310646	10.703	79.0	85.0	85.0	74.0	
1618509783.369732	10.703	78.0	84.0	84.0	73.0	
1618509783.4286356	10.703	77.0	83.0	84.0	73.0	
1618509783.4864542	10.703	77.0	83.0	84.0	72.0	
1618509783.5460663	10.703	77.0	83.0	84.0	72.0	
1618509783.6075523	10.703	77.0	83.0	84.0	73.0	
1618509783.666271	10.703	78.0	83.0	85.0	72.0	
1618509783.7218938	10.703	79.0	84.0	85.0	73.0	
1618509783.7789912	10.989	78.0	84.0	85.0	73.0	
1618509783.8381314	10.989	78.0	83.0	84.0	73.0	
1618509783.8952446	10.989	77.0	83.0	84.0	73.0	
1618509783.955122	10.989	77.0	83.0	84.0	73.0	
1618509784.0138016	10.989	77.0	82.0	83.0	72.0	
1618509784.071499	10.989	78.0	83.0	85.0	73.0	
1618509784.126505	10.989	79.0	84.0	85.0	73.0	
1618509784.1823685	10.989	79.0	85.0	85.0	74.0	
1618509784.2372127	10.989	79.0	85.0	86.0	74.0	
1618509784.2967405	10.989	78.0	84.0	85.0	73.0	
1618509784.35672	10.989	78.0	83.0	84.0	73.0	
1618509784.416411	10.989	77.0	83.0	84.0	73.0	
1618509784.47479	10.989	77.0	83.0	84.0	73.0	
1618509784.534682	10.989	77.0	83.0	84.0	72.0	
1618509784.5930731	10.989	79.0	84.0	84.0	73.0	
1618509784.6499557	10.989	79.0	84.0	85.0	74.0	
1618509784.7110112	10.989	79.0	84.0	85.0	73.0	
1618509784.767673	10.164	79.0	85.0	85.0	74.0	
1618509784.826639	10.164	78.0	84.0	85.0	73.0	
1618509784.8855853	10.164	78.0	83.0	84.0	73.0	
1618509784.9438114	10.164	77.0	83.0	84.0	73.0	
1618509785.0017462	10.164	77.0	83.0	84.0	73.0	
1618509785.0578244	10.164	78.0	83.0	84.0	73.0	
1618509785.1146739	10.164	79.0	84.0	85.0	73.0	
1618509785.1704552	10.164	79.0	85.0	86.0	74.0	
1618509785.2262316	10.164	79.0	85.0	86.0	74.0	
1618509785.2839298	10.164	79.0	85.0	86.0	74.0	
1618509785.341262	10.164	79.0	84.0	85.0	74.0	
1618509785.4007325	10.164	78.0	84.0	84.0	73.0	
1618509785.4614058	10.164	78.0	83.0	84.0	73.0	
1618509785.5216432	10.164	78.0	83.0	84.0	73.0	
1618509785.5780594	10.164	78.0	83.0	84.0	73.0	
1618509785.633449	10.164	79.0	84.0	84.0	74.0	
1618509785.6939607	10.164	79.0	84.0	85.0	73.0	
1618509785.7511992	10.164	79.0	85.0	85.0	74.0	
1618509785.8080163	10.473	80.0	85.0	86.0	74.0	
1618509785.868593	10.473	79.0	84.0	85.0	73.0	
1618509785.9268734	10.473	78.0	84.0	84.0	73.0	
1618509785.9863143	10.473	78.0	84.0	84.0	73.0	
1618509786.043534	10.473	78.0	83.0	84.0	73.0	
1618509786.1052837	10.473	79.0	84.0	84.0	73.0	
1618509786.1642191	10.473	79.0	84.0	85.0	74.0	
1618509786.2220907	10.473	79.0	85.0	86.0	74.0	
1618509786.2773757	10.473	79.0	85.0	86.0	74.0	
1618509786.333462	10.473	79.0	85.0	86.0	74.0	
1618509786.3910365	10.473	79.0	84.0	85.0	74.0	
1618509786.4505723	10.473	78.0	84.0	85.0	73.0	
1618509786.5099149	10.473	78.0	83.0	85.0	73.0	
1618509786.5675597	10.473	78.0	83.0	84.0	73.0	
1618509786.6274562	10.473	79.0	84.0	85.0	74.0	
1618509786.683232	10.473	79.0	85.0	85.0	74.0	
1618509786.7418394	11.065	79.0	85.0	86.0	74.0	
1618509786.7980416	11.065	80.0	85.0	86.0	74.0	
1618509786.8561428	11.065	79.0	85.0	86.0	74.0	
1618509786.912913	11.065	78.0	84.0	85.0	74.0	
1618509786.9758801	11.065	77.0	83.0	84.0	73.0	
1618509787.0362933	11.065	76.0	82.0	83.0	72.0	
1618509787.0987012	11.065	76.0	82.0	83.0	72.0	
1618509787.1598117	11.065	76.0	81.0	82.0	72.0	
1618509787.2181418	11.065	76.0	81.0	83.0	72.0	
1618509787.276011	11.065	77.0	82.0	83.0	72.0	
1618509787.3354905	11.065	77.0	82.0	83.0	72.0	
1618509787.39852	11.065	77.0	82.0	82.0	72.0	
1618509787.4570436	11.065	77.0	82.0	83.0	72.0	
1618509787.518833	11.065	77.0	82.0	83.0	72.0	
1618509787.5782573	11.065	77.0	82.0	83.0	72.0	
1618509787.642619	11.065	77.0	81.0	82.0	71.0	
1618509787.7029061	11.065	76.0	82.0	82.0	72.0	
1618509787.7633536	9.733	76.0	82.0	83.0	72.0	
1618509787.8228629	9.733	77.0	82.0	83.0	72.0	
1618509787.8802748	9.733	77.0	82.0	83.0	72.0	
1618509787.943163	9.733	76.0	82.0	82.0	72.0	
1618509788.0036852	9.733	77.0	82.0	83.0	72.0	
1618509788.0609882	9.733	77.0	82.0	83.0	72.0	
1618509788.119063	9.733	77.0	82.0	83.0	72.0	
1618509788.1776404	9.733	77.0	82.0	83.0	72.0	
1618509788.2372284	9.733	77.0	82.0	83.0	72.0	
1618509788.2950082	9.733	77.0	82.0	83.0	72.0	
1618509788.3548565	9.733	77.0	82.0	83.0	72.0	
1618509788.4161463	9.733	78.0	82.0	84.0	73.0	
1618509788.4758646	9.733	78.0	83.0	84.0	73.0	
1618509788.53461	9.733	78.0	84.0	85.0	73.0	
1618509788.593049	9.733	78.0	84.0	86.0	74.0	
1618509788.6543972	9.733	78.0	83.0	84.0	73.0	
1618509788.7144544	9.733	78.0	83.0	84.0	73.0	
1618509788.7730997	11.088	78.0	83.0	84.0	73.0	
1618509788.8330972	11.088	77.0	83.0	84.0	73.0	
1618509788.890949	11.088	78.0	83.0	84.0	73.0	
1618509788.9476502	11.088	79.0	84.0	85.0	74.0	
1618509789.0048678	11.088	79.0	84.0	86.0	74.0	
1618509789.062168	11.088	79.0	85.0	86.0	74.0	
1618509789.1172488	11.088	80.0	85.0	86.0	75.0	
1618509789.1746035	11.088	79.0	85.0	86.0	74.0	
1618509789.2371976	11.088	77.0	84.0	84.0	73.0	
1618509789.3013067	11.088	77.0	82.0	83.0	72.0	
1618509789.360996	11.088	76.0	82.0	83.0	72.0	
1618509789.424643	11.088	76.0	81.0	82.0	72.0	
1618509789.4851427	11.088	77.0	81.0	83.0	71.0	
1618509789.548289	11.088	76.0	81.0	82.0	72.0	
1618509789.607834	11.088	77.0	82.0	83.0	72.0	
1618509789.6669412	11.088	77.0	82.0	83.0	72.0	
1618509789.7308652	11.088	76.0	82.0	82.0	71.0	
1618509789.792796	8.775	77.0	82.0	83.0	72.0	
1618509789.850862	8.775	77.0	82.0	83.0	72.0	
1618509789.908271	8.775	77.0	82.0	83.0	72.0	
1618509789.969363	8.775	77.0	82.0	83.0	73.0	
1618509790.0311532	8.775	77.0	82.0	82.0	72.0	
1618509790.0915117	8.775	77.0	82.0	83.0	72.0	
1618509790.1523092	8.775	77.0	82.0	83.0	72.0	
1618509790.2112675	8.775	77.0	82.0	83.0	72.0	
1618509790.2702954	8.775	77.0	82.0	83.0	72.0	
1618509790.3306417	8.775	77.0	82.0	83.0	72.0	
1618509790.3877974	8.775	77.0	82.0	83.0	72.0	
1618509790.4472563	8.775	77.0	82.0	83.0	72.0	
1618509790.5112116	8.775	77.0	82.0	83.0	72.0	
1618509790.5715806	8.775	77.0	82.0	83.0	72.0	
1618509790.6338284	8.775	77.0	82.0	83.0	72.0	
1618509790.691402	8.775	77.0	82.0	83.0	72.0	
1618509790.7487576	8.775	77.0	82.0	83.0	73.0	
1618509790.8074617	9.836	77.0	82.0	83.0	73.0	
1618509790.8680634	9.836	77.0	82.0	83.0	72.0	
1618509790.9316523	9.836	76.0	82.0	83.0	73.0	
1618509790.9902785	9.836	77.0	82.0	83.0	73.0	
1618509791.0502741	9.836	77.0	82.0	83.0	73.0	
1618509791.1072702	9.836	77.0	82.0	83.0	73.0	
1618509791.167064	9.836	77.0	82.0	83.0	72.0	
1618509791.2252147	9.836	77.0	82.0	83.0	73.0	
1618509791.282998	9.836	77.0	82.0	83.0	73.0	
1618509791.3422081	9.836	77.0	82.0	84.0	73.0	
1618509791.4012244	9.836	77.0	82.0	83.0	72.0	
1618509791.4626439	9.836	77.0	82.0	83.0	72.0	
1618509791.5284803	9.836	77.0	81.0	82.0	71.0	
1618509791.589105	9.836	77.0	82.0	83.0	72.0	
1618509791.6466587	9.836	77.0	82.0	83.0	72.0	
1618509791.7076113	9.836	77.0	82.0	83.0	72.0	
1618509791.7688918	9.546	77.0	82.0	83.0	72.0	
1618509791.8269675	9.546	77.0	82.0	83.0	72.0	
1618509791.8885477	9.546	77.0	82.0	83.0	72.0	
1618509791.9481282	9.546	77.0	82.0	83.0	72.0	
1618509792.0060015	9.546	77.0	82.0	83.0	73.0	
1618509792.062557	9.546	77.0	83.0	84.0	73.0	
1618509792.1221912	9.546	77.0	82.0	84.0	72.0	
1618509792.1795464	9.546	77.0	83.0	84.0	73.0	
1618509792.2396789	9.546	77.0	82.0	84.0	72.0	
1618509792.3001454	9.546	77.0	82.0	83.0	72.0	
1618509792.3619008	9.546	77.0	82.0	83.0	72.0	
1618509792.420273	9.546	77.0	82.0	83.0	72.0	
1618509792.4813726	9.546	78.0	82.0	83.0	72.0	
1618509792.5386996	9.546	77.0	83.0	84.0	73.0	
1618509792.5947347	9.546	78.0	84.0	85.0	74.0	
1618509792.6502473	9.546	79.0	85.0	86.0	74.0	
1618509792.7067173	9.546	79.0	85.0	86.0	74.0	
1618509792.7650154	9.89	80.0	85.0	86.0	75.0	
1618509792.8246264	9.89	79.0	85.0	85.0	74.0	
1618509792.883969	9.89	79.0	84.0	85.0	74.0	
1618509792.9439893	9.89	78.0	84.0	85.0	73.0	
1618509793.0070257	9.89	78.0	83.0	85.0	73.0	
1618509793.070751	9.89	77.0	83.0	85.0	73.0	
1618509793.126115	9.89	79.0	85.0	86.0	74.0	
1618509793.183241	9.89	80.0	85.0	86.0	75.0	
1618509793.2400184	9.89	80.0	85.0	86.0	75.0	
1618509793.3008115	9.89	78.0	84.0	86.0	74.0	
1618509793.3585186	9.89	78.0	84.0	85.0	74.0	
1618509793.4182627	9.89	78.0	84.0	85.0	74.0	
1618509793.4763138	9.89	78.0	84.0	85.0	74.0	
1618509793.5409417	9.89	79.0	84.0	85.0	74.0	
1618509793.5994904	9.89	79.0	85.0	85.0	74.0	
1618509793.6574807	9.89	80.0	85.0	85.0	75.0	
1618509793.7126422	9.89	80.0	86.0	87.0	75.0	
1618509793.7705832	9.89	80.0	86.0	86.0	75.0	
1618509793.8303277	10.466	79.0	85.0	86.0	74.0	
1618509793.8928087	10.466	78.0	84.0	84.0	74.0	
1618509793.9514472	10.466	78.0	83.0	84.0	73.0	
1618509794.0117784	10.466	77.0	83.0	84.0	73.0	
1618509794.0701325	10.466	77.0	82.0	83.0	73.0	
1618509794.1298897	10.466	77.0	83.0	84.0	73.0	
1618509794.1875074	10.466	77.0	83.0	84.0	73.0	
1618509794.2455854	10.466	78.0	83.0	84.0	73.0	
1618509794.3044808	10.466	77.0	83.0	83.0	73.0	
1618509794.3634593	10.466	78.0	83.0	84.0	73.0	
1618509794.422962	10.466	78.0	83.0	84.0	73.0	
1618509794.4799287	10.466	78.0	83.0	84.0	73.0	
1618509794.5431418	10.466	78.0	83.0	84.0	73.0	
1618509794.6038582	10.466	77.0	83.0	84.0	73.0	
1618509794.6609583	10.466	78.0	83.0	84.0	73.0	
1618509794.7224555	10.466	78.0	83.0	84.0	73.0	
1618509794.7798197	10.466	78.0	83.0	84.0	73.0	
1618509794.8389575	9.76	78.0	83.0	84.0	73.0	
1618509794.8987033	9.76	78.0	83.0	84.0	73.0	
1618509794.956163	9.76	78.0	83.0	84.0	73.0	
1618509795.0141037	9.76	78.0	83.0	84.0	73.0	
1618509795.071069	9.76	78.0	83.0	84.0	73.0	
1618509795.1330938	9.76	77.0	83.0	84.0	73.0	
1618509795.1929326	9.76	78.0	83.0	84.0	73.0	
1618509795.252656	9.76	78.0	83.0	84.0	73.0	
1618509795.31313	9.76	78.0	83.0	84.0	73.0	
1618509795.372908	9.76	78.0	83.0	84.0	73.0	
1618509795.4313395	9.76	78.0	83.0	84.0	73.0	
1618509795.4906445	9.76	78.0	83.0	84.0	73.0	
1618509795.548284	9.76	78.0	83.0	84.0	73.0	
1618509795.6063497	9.76	78.0	83.0	84.0	74.0	
1618509795.6630616	9.76	78.0	83.0	85.0	74.0	
1618509795.7229385	9.76	78.0	83.0	84.0	73.0	
1618509795.7819757	10.015	78.0	83.0	84.0	73.0	
1618509795.8423605	10.015	78.0	83.0	84.0	73.0	
1618509795.9026635	10.015	77.0	82.0	84.0	73.0	
1618509795.963268	10.015	77.0	83.0	84.0	73.0	
1618509796.0289102	10.015	77.0	83.0	84.0	72.0	
1618509796.0886936	10.015	78.0	83.0	84.0	73.0	
1618509796.1493573	10.015	78.0	83.0	84.0	73.0	
1618509796.2058845	10.015	78.0	83.0	84.0	73.0	
1618509796.2636395	10.015	78.0	83.0	85.0	73.0	
1618509796.3229778	10.015	78.0	83.0	84.0	73.0	
1618509796.381226	10.015	78.0	83.0	84.0	73.0	
1618509796.4425044	10.015	78.0	83.0	84.0	73.0	
1618509796.5002341	10.015	78.0	83.0	84.0	73.0	
1618509796.558754	10.015	78.0	83.0	84.0	73.0	
1618509796.6230736	10.015	78.0	82.0	84.0	73.0	
1618509796.6844347	10.015	78.0	82.0	84.0	73.0	
1618509796.7458892	9.89	77.0	82.0	84.0	73.0	
