time	W	temp
1618511436.6875105	0	63.376	
1618511436.749273	0	63.376	
1618511436.7946434	0	63.376	
1618511436.8402693	0	63.376	
1618511436.8835762	0	63.914	
1618511436.9285522	0	63.376	
1618511436.9718583	0	63.914	
1618511437.0147643	0	64.452	
1618511437.0593638	0	64.452	
1618511437.1023622	0	64.99	
1618511437.1461725	0	63.914	
1618511437.1915004	0	64.452	
1618511437.2353861	0	64.452	
1618511437.2792137	0	64.452	
1618511437.3248594	0	64.452	
1618511437.368731	0	64.452	
1618511437.4124796	0	64.99	
1618511437.4579053	5.065	64.452	
1618511437.5021691	5.065	64.99	
1618511437.5479887	5.065	64.452	
1618511437.5932279	5.065	64.452	
1618511437.6370335	5.065	65.528	
1618511437.6809628	5.065	64.99	
1618511437.7261748	5.065	64.99	
1618511437.7700949	5.065	65.528	
1618511437.8141992	5.065	65.528	
1618511437.859661	5.065	65.528	
1618511437.90348	5.065	65.528	
1618511437.9471874	5.065	64.99	
1618511437.992445	5.065	65.528	
1618511438.0363848	5.065	65.528	
1618511438.0801647	5.065	64.99	
1618511438.1254778	5.065	65.528	
1618511438.1695564	5.065	65.528	
1618511438.2125773	5.065	66.066	
1618511438.2578237	5.065	65.528	
1618511438.3016822	5.065	65.528	
1618511438.345577	5.065	65.528	
1618511438.3911202	5.065	65.528	
1618511438.434879	5.065	66.066	
1618511438.4786315	5.065	66.066	
1618511438.5248728	5.065	66.066	
1618511438.5690422	5.065	65.528	
1618511438.612028	5.065	66.604	
1618511438.6567526	5.065	66.066	
1618511438.700127	5.065	66.066	
1618511438.744176	5.065	66.604	
1618511438.7893205	5.065	66.066	
1618511438.8328075	5.065	66.066	
1618511438.8777242	5.065	66.604	
1618511438.9223084	5.065	66.604	
1618511438.9655042	5.065	66.604	
1618511439.00891	5.065	66.604	
1618511439.0534756	5.065	66.604	
1618511439.0970433	5.065	66.066	
1618511439.1399317	5.065	66.604	
1618511439.1852288	5.065	66.604	
1618511439.2281961	5.065	66.604	
1618511439.2716708	5.065	66.604	
1618511439.316267	5.065	67.142	
1618511439.3591287	5.065	66.604	
1618511439.4026794	5.065	66.604	
1618511439.447611	5.115	66.604	
1618511439.4909413	5.115	66.604	
1618511439.5346289	5.115	67.142	
1618511439.579462	5.115	66.604	
1618511439.622825	5.115	66.604	
1618511439.6657388	5.115	66.604	
1618511439.710605	5.115	67.142	
1618511439.7535465	5.115	67.142	
1618511439.7968328	5.115	67.142	
1618511439.8415678	5.115	66.604	
1618511439.8847475	5.115	67.142	
1618511439.9279819	5.115	66.604	
1618511439.9728444	5.115	67.142	
1618511440.0164714	5.115	66.604	
1618511440.0593834	5.115	66.604	
1618511440.1044998	5.115	67.142	
1618511440.1475027	5.115	67.68	
1618511440.1908293	5.115	67.68	
1618511440.235667	5.115	67.68	
1618511440.2786715	5.115	66.604	
1618511440.3218224	5.115	67.68	
1618511440.3664217	5.115	67.142	
1618511440.4096522	5.115	67.142	
1618511440.4531164	5.115	67.142	
1618511440.4980702	5.115	67.142	
1618511440.5421624	5.115	67.68	
1618511440.5851228	5.115	67.68	
1618511440.6299038	5.115	68.218	
1618511440.6729016	5.115	67.68	
1618511440.7160223	5.115	67.68	
1618511440.7608461	5.115	67.68	
1618511440.8040102	5.115	67.68	
1618511440.8472853	5.115	67.142	
1618511440.8919513	5.115	67.68	
1618511440.9355667	5.115	68.218	
1618511440.978359	5.115	67.68	
1618511441.0231183	5.115	67.68	
1618511441.0661263	5.115	67.142	
1618511441.1089544	5.115	67.68	
1618511441.1539156	5.115	67.68	
1618511441.196841	5.115	67.142	
1618511441.2405384	5.115	67.68	
1618511441.2852154	5.115	67.68	
1618511441.3282897	5.115	67.68	
1618511441.371327	5.115	67.68	
1618511441.4160213	5.115	67.68	
1618511441.4591262	5.134	68.218	
1618511441.502653	5.134	67.68	
1618511441.548279	5.134	67.68	
1618511441.5911076	5.134	68.218	
1618511441.6345358	5.134	67.68	
1618511441.6790211	5.134	67.68	
1618511441.7220943	5.134	67.68	
1618511441.765589	5.134	68.756	
1618511441.810391	5.134	68.756	
1618511441.8537269	5.134	68.756	
1618511441.8966484	5.134	68.218	
1618511441.9416351	5.134	67.68	
1618511441.9848642	5.134	68.218	
1618511442.0278895	5.134	68.756	
1618511442.0727656	5.134	68.756	
1618511442.115784	5.134	67.68	
1618511442.1586797	5.134	68.756	
1618511442.2032955	5.134	68.756	
1618511442.2462082	5.134	69.294	
1618511442.289114	5.134	68.756	
1618511442.3337114	5.134	68.756	
1618511442.3766341	5.134	68.218	
1618511442.4194965	5.134	68.756	
1618511442.4647987	5.153	68.756	
1618511442.5080945	5.153	68.756	
1618511442.551762	5.153	68.756	
1618511442.5965633	5.153	68.756	
1618511442.6395965	5.153	69.294	
1618511442.6829026	5.153	67.68	
1618511442.7277567	5.153	68.218	
1618511442.7714465	5.153	68.756	
1618511442.8144329	5.153	68.756	
1618511442.8611012	5.153	68.756	
1618511442.9041352	5.153	68.756	
1618511442.947125	5.153	68.756	
1618511442.9921777	5.153	69.294	
1618511443.0350842	5.153	68.756	
1618511443.0784755	5.153	68.756	
1618511443.123095	5.153	68.756	
1618511443.1661084	5.153	67.68	
1618511443.2092943	5.153	68.756	
1618511443.2542663	5.153	68.756	
1618511443.2978444	5.153	68.756	
1618511443.3408191	5.153	69.294	
1618511443.3862777	5.153	68.756	
1618511443.4291375	5.153	69.294	
1618511443.4725769	5.149	68.756	
1618511443.5175607	5.149	68.756	
1618511443.5608222	5.149	69.294	
1618511443.6037765	5.149	68.756	
1618511443.6483655	5.149	68.756	
1618511443.6918132	5.149	69.832	
1618511443.7349927	5.149	68.756	
1618511443.7799625	5.149	69.294	
1618511443.8229642	5.149	69.832	
1618511443.8658607	5.149	69.294	
1618511443.9110136	5.149	68.756	
1618511443.9539437	5.149	68.756	
1618511443.997101	5.149	69.294	
1618511444.0417783	5.149	69.294	
1618511444.0848694	5.149	69.294	
1618511444.127768	5.149	69.294	
1618511444.172329	5.149	69.294	
1618511444.2155938	5.149	69.832	
1618511444.2585013	5.149	69.294	
1618511444.303525	5.149	69.832	
1618511444.346349	5.149	69.294	
1618511444.3895385	5.149	69.294	
1618511444.4346948	5.149	69.832	
1618511444.4776235	5.149	68.756	
1618511444.5212321	5.149	69.832	
1618511444.5661895	5.149	68.756	
1618511444.6098447	5.149	69.294	
1618511444.652905	5.149	69.294	
1618511444.6975546	5.149	69.832	
1618511444.7408009	5.149	69.294	
1618511444.783763	5.149	69.294	
1618511444.8285413	5.149	69.832	
1618511444.872943	5.149	69.294	
1618511444.916124	5.149	69.294	
1618511444.9606936	5.149	69.832	
1618511445.003489	5.149	69.294	
1618511445.0464966	5.149	69.294	
1618511445.0910573	5.149	69.294	
1618511445.1343575	5.149	69.832	
1618511445.1773589	5.149	69.832	
1618511445.2220914	5.149	69.294	
1618511445.2649574	5.149	69.294	
1618511445.308198	5.149	69.832	
1618511445.3530064	5.149	69.832	
1618511445.3959599	5.149	69.294	
1618511445.4395802	5.145	69.294	
1618511445.4844027	5.145	69.294	
1618511445.5275621	5.145	69.832	
1618511445.5707805	5.145	69.832	
1618511445.6155438	5.145	69.832	
1618511445.658617	5.145	69.832	
1618511445.7016118	5.145	69.294	
1618511445.7464743	5.145	70.37	
1618511445.7897105	5.145	69.832	
1618511445.833141	5.145	69.832	
1618511445.8775647	5.145	69.832	
1618511445.9205303	5.145	69.832	
1618511445.963899	5.145	69.832	
1618511446.0086331	5.145	69.832	
1618511446.0519564	5.145	69.832	
1618511446.0950594	5.145	70.37	
1618511446.1399841	5.145	69.294	
1618511446.1831162	5.145	69.832	
1618511446.226078	5.145	70.37	
1618511446.2710657	5.145	69.832	
1618511446.31388	5.145	69.832	
1618511446.3571587	5.145	69.832	
1618511446.401822	5.145	69.294	
1618511446.4449751	5.115	69.832	
1618511446.4883876	5.115	69.294	
1618511446.533968	5.115	69.832	
1618511446.5772002	5.115	69.832	
1618511446.6204119	5.115	70.37	
1618511446.6652498	5.115	69.832	
1618511446.708197	5.115	69.832	
1618511446.751432	5.115	69.832	
1618511446.7960107	5.115	69.832	
1618511446.8396885	5.115	69.832	
1618511446.8831255	5.115	69.832	
1618511446.9275308	5.115	69.832	
1618511446.970753	5.115	69.832	
1618511447.0136387	5.115	69.832	
1618511447.0584981	5.115	69.832	
1618511447.101543	5.115	69.832	
1618511447.1444438	5.115	69.832	
1618511447.1893096	5.115	70.37	
1618511447.2325432	5.115	69.832	
1618511447.2756467	5.115	69.832	
1618511447.320299	5.115	69.832	
1618511447.363307	5.115	70.37	
1618511447.406563	5.115	69.832	
1618511447.451157	5.115	69.832	
1618511447.4948766	5.118	69.832	
1618511447.53876	5.118	69.832	
1618511447.583332	5.118	70.37	
1618511447.6262445	5.118	69.294	
1618511447.6691842	5.118	70.908	
1618511447.713992	5.118	69.832	
1618511447.7570307	5.118	69.832	
1618511447.8001494	5.118	70.37	
1618511447.845157	5.118	69.832	
1618511447.8883667	5.118	69.832	
1618511447.9312053	5.118	69.832	
1618511447.976043	5.118	70.908	
1618511448.018859	5.118	70.37	
1618511448.0618641	5.118	69.832	
1618511448.106657	5.118	70.908	
1618511448.1496303	5.118	70.37	
1618511448.1929188	5.118	69.832	
1618511448.2373989	5.118	70.37	
1618511448.2805202	5.118	69.832	
1618511448.3236203	5.118	69.832	
1618511448.3681138	5.118	70.908	
1618511448.411365	5.118	69.832	
1618511448.4546933	5.157	70.908	
1618511448.500174	5.157	70.37	
1618511448.544044	5.157	70.908	
1618511448.587142	5.157	70.37	
1618511448.632146	5.157	69.832	
1618511448.6750948	5.157	69.832	
1618511448.718407	5.157	70.908	
1618511448.7629876	5.157	69.832	
1618511448.8061454	5.157	70.37	
1618511448.850822	5.157	70.908	
1618511448.8956323	5.157	70.908	
1618511448.9389262	5.157	69.832	
1618511448.9818923	5.157	69.832	
1618511449.0266867	5.157	70.908	
1618511449.0697527	5.157	70.37	
1618511449.1129835	5.157	70.37	
1618511449.1580594	5.157	70.37	
1618511449.200972	5.157	70.908	
1618511449.2446828	5.157	70.908	
1618511449.2890306	5.157	70.908	
1618511449.3326921	5.157	70.37	
1618511449.3756995	5.157	70.908	
1618511449.420562	5.157	70.908	
1618511449.4637713	5.153	70.908	
1618511449.5072534	5.153	70.908	
1618511449.5531263	5.153	70.37	
1618511449.595893	5.153	70.37	
1618511449.6394484	5.153	70.37	
1618511449.6842184	5.153	70.37	
1618511449.7276542	5.153	70.37	
1618511449.7708082	5.153	70.908	
1618511449.8156152	5.153	70.37	
1618511449.8588772	5.153	70.908	
1618511449.9019952	5.153	70.908	
1618511449.9472117	5.153	70.908	
1618511449.9902523	5.153	70.37	
1618511450.0336416	5.153	70.908	
1618511450.0782943	5.153	70.908	
1618511450.1213958	5.153	70.908	
1618511450.1645885	5.153	70.908	
1618511450.209406	5.153	70.908	
1618511450.2527	5.153	70.908	
1618511450.2955682	5.153	70.908	
1618511450.3401146	5.153	70.908	
1618511450.3831577	5.153	70.908	
1618511450.4260864	5.153	70.908	
1618511450.4708543	5.138	70.908	
1618511450.51418	5.138	70.908	
1618511450.557363	5.138	70.908	
1618511450.6020577	5.138	70.908	
1618511450.6454742	5.138	70.908	
1618511450.6888018	5.138	70.908	
1618511450.7335284	5.138	70.908	
1618511450.776791	5.138	70.908	
1618511450.8197176	5.138	70.908	
1618511450.8667276	5.138	70.908	
1618511450.9106278	5.138	70.908	
1618511450.9535713	5.138	70.908	
1618511450.9981158	5.138	70.908	
1618511451.041269	5.138	70.37	
1618511451.0845106	5.138	70.908	
1618511451.129455	5.138	70.908	
1618511451.1730244	5.138	70.908	
1618511451.2159238	5.138	70.908	
1618511451.2608914	5.138	71.446	
1618511451.3037522	5.138	70.908	
1618511451.346765	5.138	71.446	
1618511451.3922286	5.138	70.908	
1618511451.4351914	5.138	70.908	
1618511451.478743	5.149	70.908	
1618511451.5237458	5.149	70.908	
1618511451.567182	5.149	71.446	
1618511451.6105537	5.149	70.908	
1618511451.6552308	5.149	70.908	
1618511451.698624	5.149	71.446	
1618511451.7415626	5.149	71.446	
1618511451.786428	5.149	70.908	
1618511451.8294556	5.149	70.908	
1618511451.8724225	5.149	70.908	
1618511451.9171252	5.149	70.908	
1618511451.9603415	5.149	71.446	
1618511452.0034928	5.149	70.908	
1618511452.0485556	5.149	70.908	
1618511452.0917795	5.149	70.908	
1618511452.1350002	5.149	70.908	
