time	W	temp
1618470614.6813424	0	65.528	
1618470614.743458	0	65.528	
1618470614.7864814	0	65.528	
1618470614.8296769	0	65.528	
1618470614.8751423	0	65.528	
1618470614.9184697	0	65.528	
1618470614.9613855	4.37	65.528	
1618470615.0066545	4.37	66.604	
1618470615.0502653	4.37	65.528	
1618470615.0926597	4.37	66.066	
1618470615.1368992	4.37	66.604	
1618470615.1795065	4.37	66.604	
1618470615.2221768	4.37	66.604	
1618470615.2670202	4.37	66.604	
1618470615.309741	4.37	66.604	
1618470615.3540344	4.37	66.604	
1618470615.3979223	4.37	66.604	
1618470615.4405916	4.37	66.604	
1618470615.4838645	4.37	66.604	
1618470615.5276322	4.37	67.142	
1618470615.5707462	4.37	67.142	
1618470615.6139936	4.37	66.604	
1618470615.657537	4.37	66.604	
1618470615.6998408	4.37	67.142	
1618470615.7430005	4.37	67.142	
1618470615.7871344	4.37	66.604	
1618470615.8295593	4.37	67.68	
1618470615.8729677	4.37	67.68	
1618470615.9176176	4.37	67.68	
1618470615.9605775	5.107	67.142	
1618470616.0039334	5.107	67.142	
1618470616.0476544	5.107	67.68	
1618470616.0899885	5.107	67.68	
1618470616.1326487	5.107	67.142	
1618470616.1772928	5.107	67.68	
1618470616.2208729	5.107	67.68	
1618470616.2643647	5.107	67.68	
1618470616.3092067	5.107	68.218	
1618470616.3536694	5.107	67.68	
1618470616.3972337	5.107	67.68	
1618470616.442105	5.107	68.218	
1618470616.4855013	5.107	67.68	
1618470616.5288405	5.107	67.68	
1618470616.5737772	5.107	68.756	
1618470616.617006	5.107	67.68	
1618470616.660377	5.107	67.68	
1618470616.7048826	5.107	68.756	
1618470616.7486162	5.107	68.218	
1618470616.7919753	5.107	68.218	
1618470616.8369365	5.107	68.756	
1618470616.8802676	5.107	67.68	
1618470616.923628	5.107	67.68	
1618470616.9694772	5.126	67.68	
1618470617.0136487	5.126	69.294	
1618470617.0571477	5.126	68.756	
1618470617.1020124	5.126	68.756	
1618470617.1453185	5.126	68.756	
1618470617.1887946	5.126	68.756	
1618470617.2336516	5.126	68.756	
1618470617.2770658	5.126	69.294	
1618470617.3202858	5.126	68.756	
1618470617.3662436	5.126	68.756	
1618470617.4097185	5.126	68.756	
1618470617.4531388	5.126	68.756	
1618470617.498045	5.126	68.756	
1618470617.5407543	5.126	69.294	
1618470617.5843148	5.126	68.756	
1618470617.6285028	5.126	69.294	
1618470617.6717496	5.126	69.294	
1618470617.7151399	5.126	69.294	
1618470617.7600298	5.126	69.294	
1618470617.803484	5.126	68.756	
1618470617.8468337	5.126	69.294	
1618470617.8915663	5.126	69.832	
1618470617.9346936	5.126	68.756	
1618470617.977935	5.145	69.832	
1618470618.0229132	5.145	69.294	
1618470618.0662136	5.145	69.294	
1618470618.109624	5.145	69.294	
1618470618.153795	5.145	69.294	
1618470618.1974008	5.145	69.832	
1618470618.2399204	5.145	69.294	
1618470618.2848098	5.145	69.294	
1618470618.3281183	5.145	69.832	
1618470618.3722856	5.145	69.294	
1618470618.4177225	5.145	69.832	
1618470618.4609888	5.145	69.832	
1618470618.5037642	5.145	69.832	
1618470618.5480058	5.145	69.294	
1618470618.590533	5.145	69.832	
1618470618.6339774	5.145	69.832	
1618470618.6788678	5.145	69.832	
1618470618.7222354	5.145	69.294	
1618470618.7655885	5.145	69.832	
1618470618.8105721	5.145	69.832	
1618470618.8548992	5.145	69.832	
1618470618.8982868	5.145	70.37	
1618470618.9436135	5.145	70.37	
1618470618.986848	5.153	69.832	
1618470619.0299816	5.153	69.832	
1618470619.0746665	5.153	69.832	
1618470619.1170692	5.153	69.832	
1618470619.159522	5.153	69.294	
1618470619.203537	5.153	69.832	
1618470619.2458696	5.153	69.832	
1618470619.2890708	5.153	70.37	
1618470619.3340392	5.153	70.908	
1618470619.3774035	5.153	69.832	
1618470619.4207969	5.153	69.832	
1618470619.4646273	5.153	69.832	
1618470619.5071092	5.153	70.37	
1618470619.549885	5.153	69.832	
1618470619.593552	5.153	69.832	
1618470619.6367872	5.153	70.908	
1618470619.6792517	5.153	69.832	
1618470619.7230856	5.153	69.832	
1618470619.7662904	5.153	69.832	
1618470619.8097963	5.153	69.832	
1618470619.8547795	5.153	70.908	
1618470619.898224	5.153	70.37	
1618470619.9415097	5.153	70.908	
1618470619.985883	5.172	70.37	
1618470620.0290227	5.172	70.908	
1618470620.0714545	5.172	70.37	
1618470620.1161807	5.172	70.908	
1618470620.1594038	5.172	70.908	
1618470620.2028801	5.172	70.37	
1618470620.247784	5.172	70.37	
1618470620.2911463	5.172	69.832	
1618470620.3345392	5.172	70.908	
1618470620.3800592	5.172	70.908	
1618470620.423513	5.172	69.832	
1618470620.4668093	5.172	70.37	
1618470620.5118327	5.172	69.832	
1618470620.5547452	5.172	70.908	
1618470620.5975301	5.172	70.908	
1618470620.6424158	5.172	70.908	
1618470620.6855688	5.172	70.908	
1618470620.727939	5.172	70.908	
1618470620.7721176	5.172	70.908	
1618470620.8153853	5.172	70.908	
1618470620.8590157	5.172	70.908	
1618470620.9030743	5.172	71.446	
1618470620.9456754	5.172	70.37	
1618470620.988158	5.172	70.908	
1618470621.0330176	5.172	70.908	
1618470621.0768406	5.168	70.908	
1618470621.1204727	5.168	70.908	
1618470621.1652982	5.168	70.908	
1618470621.208029	5.168	70.908	
1618470621.2506068	5.168	70.908	
1618470621.2951217	5.168	70.908	
