time	W	temp
1618508558.1297507	0	57.996	
1618508558.211836	0	57.996	
1618508558.2764494	0	57.996	
1618508558.341836	0	58.534	
1618508558.4067008	0	58.534	
1618508558.4726026	0	58.534	
1618508558.537528	3.825	59.072	
1618508558.603012	3.825	59.072	
1618508558.6684468	3.825	59.61	
1618508558.7344153	3.825	59.61	
1618508558.7992275	3.825	59.61	
1618508558.8685029	3.825	60.148	
1618508558.9392066	3.825	59.61	
1618508559.0129087	3.825	60.148	
1618508559.0863893	3.825	59.61	
1618508559.160319	3.825	60.148	
1618508559.2322156	3.825	60.686	
1618508559.3067536	3.825	60.686	
1618508559.3799827	3.825	60.686	
1618508559.4546914	5.336	60.148	
1618508559.5279026	5.336	60.686	
1618508559.601591	5.336	60.148	
1618508559.6744401	5.336	60.686	
1618508559.748009	5.336	60.686	
1618508559.8227725	5.336	60.148	
1618508559.8978395	5.336	60.686	
1618508559.9702864	5.336	61.224	
1618508560.0436642	5.336	61.224	
1618508560.116662	5.336	61.224	
1618508560.191713	5.336	61.224	
1618508560.26345	5.336	61.224	
1618508560.337096	5.336	61.224	
1618508560.4102736	5.313	61.224	
1618508560.4856968	5.313	61.224	
1618508560.5587482	5.313	61.762	
1618508560.6335363	5.313	61.224	
1618508560.706558	5.313	61.762	
1618508560.7800894	5.313	61.762	
1618508560.8529866	5.313	61.762	
1618508560.9282694	5.313	61.762	
1618508561.0010865	5.313	61.762	
1618508561.075937	5.313	61.762	
1618508561.1489806	5.313	62.3	
1618508561.2249787	5.313	62.3	
1618508561.2978554	5.313	61.224	
1618508561.3714921	5.313	62.3	
1618508561.4450712	5.34	62.3	
1618508561.5209558	5.34	62.3	
1618508561.593201	5.34	62.3	
1618508561.6671548	5.34	62.3	
1618508561.7394867	5.34	62.3	
1618508561.8147693	5.34	62.3	
1618508561.8871477	5.34	62.3	
1618508561.9617372	5.34	62.3	
1618508562.0348141	5.34	62.3	
1618508562.1080801	5.34	62.838	
1618508562.1813872	5.34	62.838	
1618508562.256184	5.34	62.3	
1618508562.329277	5.34	62.838	
1618508562.4034982	5.332	62.3	
1618508562.4762883	5.332	62.3	
1618508562.5508502	5.332	62.3	
1618508562.6234086	5.332	62.838	
1618508562.6984158	5.332	63.376	
1618508562.7716753	5.332	62.838	
1618508562.8493855	5.332	62.3	
1618508562.921141	5.332	62.838	
1618508562.9951386	5.332	62.838	
1618508563.0688212	5.332	62.838	
1618508563.1430922	5.332	62.838	
1618508563.2149165	5.332	62.838	
1618508563.2895415	5.332	62.838	
1618508563.3616335	5.332	62.838	
1618508563.4359248	5.313	62.838	
1618508563.509459	5.313	63.376	
1618508563.5837297	5.313	62.838	
1618508563.6562834	5.313	63.376	
1618508563.7303114	5.313	62.838	
1618508563.802868	5.313	62.838	
1618508563.878171	5.313	63.376	
1618508563.9506242	5.313	63.376	
1618508564.024569	5.313	63.376	
1618508564.0983214	5.313	63.376	
1618508564.1726453	5.313	63.376	
1618508564.2445824	5.313	63.376	
1618508564.3193874	5.313	63.376	
1618508564.3916447	5.313	63.376	
1618508564.4657445	5.328	62.838	
1618508564.5390399	5.328	63.376	
1618508564.6137695	5.328	63.376	
1618508564.6857693	5.328	63.376	
1618508564.7591686	5.328	63.914	
1618508564.8325388	5.328	63.376	
1618508564.9084256	5.328	63.376	
1618508564.980383	5.328	63.376	
1618508565.054875	5.328	63.376	
1618508565.128287	5.328	63.376	
1618508565.2028198	5.328	63.376	
1618508565.27434	5.328	63.376	
1618508565.3491702	5.328	63.376	
1618508565.422075	5.267	63.914	
1618508565.4967446	5.267	63.914	
1618508565.5684988	5.267	64.452	
1618508565.6424346	5.267	63.376	
1618508565.7149832	5.267	63.914	
1618508565.7891681	5.267	63.376	
1618508565.8632293	5.267	64.452	
1618508565.9371257	5.267	64.452	
1618508566.0095496	5.267	63.914	
1618508566.0830932	5.267	64.452	
1618508566.1551025	5.267	64.452	
1618508566.229011	5.267	64.452	
1618508566.3015108	5.267	64.452	
1618508566.3756368	5.267	63.914	
1618508566.4484339	5.34	64.452	
1618508566.5231636	5.34	64.452	
1618508566.5948873	5.34	64.452	
1618508566.668846	5.34	64.452	
1618508566.74211	5.34	64.452	
1618508566.8169835	5.34	64.452	
1618508566.889508	5.34	64.452	
1618508566.9633083	5.34	64.452	
1618508567.0358763	5.34	64.99	
1618508567.1090813	5.34	64.452	
1618508567.1811817	5.34	64.452	
1618508567.255614	5.34	64.452	
1618508567.329208	5.34	64.452	
1618508567.4036949	5.363	64.452	
1618508567.4760163	5.363	64.452	
1618508567.5504987	5.363	64.99	
1618508567.6219556	5.363	63.376	
1618508567.6957974	5.363	64.452	
1618508567.76827	5.363	64.452	
1618508567.8424418	5.363	64.452	
1618508567.915329	5.363	64.452	
1618508567.9892	5.363	64.452	
1618508568.062527	5.363	64.452	
1618508568.1356914	5.363	64.99	
1618508568.2077086	5.363	64.99	
1618508568.281716	5.363	64.452	
1618508568.3541753	5.363	64.99	
1618508568.428928	5.34	64.99	
1618508568.5016046	5.34	64.99	
1618508568.575862	5.34	65.528	
1618508568.6477416	5.34	64.452	
1618508568.7216125	5.34	64.99	
1618508568.7943323	5.34	64.452	
1618508568.8716357	5.34	64.99	
1618508568.943996	5.34	64.99	
1618508569.0179548	5.34	64.452	
1618508569.0908623	5.34	64.452	
1618508569.1641488	5.34	64.452	
1618508569.2363126	5.34	64.99	
1618508569.310835	5.34	64.99	
1618508569.3832288	5.34	64.99	
1618508569.457885	5.355	65.528	
1618508569.5305102	5.355	64.99	
1618508569.6049626	5.355	64.99	
1618508569.6766407	5.355	64.99	
1618508569.750598	5.355	64.99	
1618508569.823615	5.355	64.99	
1618508569.8978877	5.355	64.99	
1618508569.970404	5.355	65.528	
1618508570.0440361	5.355	65.528	
1618508570.1166375	5.355	64.99	
1618508570.1899261	5.355	65.528	
1618508570.2620444	5.355	64.99	
1618508570.3361506	5.355	64.99	
1618508570.40889	5.363	65.528	
1618508570.4834704	5.363	65.528	
1618508570.5555036	5.363	64.99	
1618508570.630115	5.363	64.99	
1618508570.7018669	5.363	65.528	
1618508570.7761562	5.363	64.99	
1618508570.8510234	5.363	65.528	
1618508570.925431	5.363	65.528	
1618508570.9977586	5.363	64.99	
1618508571.0715568	5.363	65.528	
1618508571.1449184	5.363	64.99	
1618508571.2186055	5.363	65.528	
1618508571.290705	5.363	64.99	
1618508571.3648992	5.363	65.528	
1618508571.437857	5.332	65.528	
1618508571.5122132	5.332	65.528	
1618508571.5841634	5.332	65.528	
1618508571.6588104	5.332	65.528	
1618508571.7303932	5.332	65.528	
1618508571.804017	5.332	65.528	
1618508571.877593	5.332	66.066	
1618508571.9516838	5.332	64.99	
1618508572.0239477	5.332	66.066	
1618508572.0979705	5.332	65.528	
1618508572.17117	5.332	65.528	
1618508572.246778	5.332	65.528	
1618508572.3189	5.332	65.528	
1618508572.3935208	5.332	65.528	
1618508572.4662457	5.313	65.528	
1618508572.54072	5.313	65.528	
1618508572.6128986	5.313	65.528	
1618508572.6875339	5.313	66.066	
