time	W	temp
1618509776.496981	3.351	67.68	
1618509776.5891113	3.351	67.68	
1618509776.6617084	3.351	67.68	
1618509776.7348456	3.351	67.68	
1618509776.8061101	3.351	67.68	
1618509776.8814194	3.351	68.756	
1618509776.9537566	3.351	68.756	
1618509777.02883	3.351	67.68	
1618509777.1007478	3.351	68.756	
1618509777.1742196	3.351	68.756	
1618509777.2461414	3.351	68.756	
1618509777.3193982	3.351	69.294	
1618509777.3905215	3.351	69.294	
1618509777.4630284	5.519	69.832	
1618509777.5336869	5.519	69.294	
1618509777.6062787	5.519	69.832	
1618509777.6786075	5.519	69.832	
1618509777.751055	5.519	70.37	
1618509777.8211756	5.519	70.37	
1618509777.892863	5.519	69.832	
1618509777.9630632	5.519	70.908	
1618509778.0355735	5.519	70.908	
1618509778.1051888	5.519	69.832	
1618509778.1771278	5.519	70.908	
1618509778.2473035	5.519	70.37	
1618509778.3184395	5.519	70.908	
1618509778.3886044	5.519	69.832	
1618509778.4615474	5.576	70.908	
1618509778.5317085	5.576	70.908	
1618509778.6046379	5.576	70.908	
1618509778.6758246	5.576	70.908	
1618509778.7474108	5.576	70.908	
1618509778.8171349	5.576	70.908	
1618509778.8889697	5.576	70.908	
1618509778.9595923	5.576	70.908	
1618509779.0312402	5.576	70.908	
1618509779.1025522	5.576	71.446	
1618509779.1759806	5.576	71.446	
1618509779.2472615	5.576	71.446	
1618509779.3201115	5.576	70.908	
1618509779.3904073	5.576	70.908	
1618509779.4627085	5.508	70.908	
1618509779.532878	5.508	71.984	
1618509779.606263	5.508	71.984	
1618509779.677823	5.508	71.446	
1618509779.7493122	5.508	71.984	
1618509779.8195124	5.508	71.984	
1618509779.8932915	5.508	71.984	
1618509779.963069	5.508	72.522	
1618509780.0368793	5.508	71.446	
1618509780.1070318	5.508	71.984	
1618509780.1784139	5.508	71.984	
1618509780.2480953	5.508	71.446	
1618509780.3199704	5.508	72.522	
1618509780.3915234	5.508	71.984	
1618509780.4644594	5.561	71.984	
1618509780.534774	5.561	71.984	
1618509780.6081924	5.561	71.984	
1618509780.679378	5.561	71.984	
1618509780.7526896	5.561	71.984	
1618509780.82294	5.561	71.984	
1618509780.8995488	5.561	72.522	
1618509780.9694123	5.561	72.522	
1618509781.051511	5.561	72.522	
1618509781.1219742	5.561	71.984	
1618509781.1940284	5.561	72.522	
1618509781.2644362	5.561	73.06	
1618509781.3366728	5.561	73.06	
1618509781.4067273	5.561	73.06	
1618509781.4789472	5.435	73.06	
1618509781.5495162	5.435	73.06	
1618509781.6208878	5.435	73.06	
1618509781.6906571	5.435	73.06	
1618509781.7624652	5.435	73.06	
1618509781.8328009	5.435	73.06	
1618509781.90391	5.435	73.06	
1618509781.9743512	5.435	73.06	
1618509782.0472329	5.435	72.522	
1618509782.1168962	5.435	73.06	
1618509782.188656	5.435	73.06	
1618509782.2589211	5.435	73.06	
1618509782.3309793	5.435	73.06	
1618509782.4008732	5.435	73.598	
1618509782.4731019	5.531	73.598	
1618509782.5432198	5.531	73.06	
1618509782.6145666	5.531	73.06	
1618509782.6850457	5.531	73.06	
1618509782.7569427	5.531	73.06	
1618509782.8272502	5.531	73.06	
1618509782.903125	5.531	73.598	
1618509782.974387	5.531	73.598	
1618509783.0469007	5.531	73.598	
1618509783.116835	5.531	73.598	
1618509783.188504	5.531	73.598	
1618509783.258693	5.531	73.06	
1618509783.3300257	5.531	73.06	
1618509783.4000669	5.531	74.136	
1618509783.4727252	5.576	73.598	
1618509783.542659	5.576	73.06	
1618509783.6143267	5.576	74.136	
1618509783.6846669	5.576	73.598	
1618509783.7557695	5.576	73.598	
1618509783.825796	5.576	74.136	
1618509783.8979516	5.576	74.136	
1618509783.9679065	5.576	73.598	
1618509784.0404632	5.576	73.598	
1618509784.1106606	5.576	73.06	
1618509784.182183	5.576	74.136	
1618509784.251712	5.576	74.136	
1618509784.3231583	5.576	74.674	
1618509784.3931797	5.576	73.598	
1618509784.4646537	5.641	73.598	
1618509784.5352402	5.641	73.598	
1618509784.6067343	5.641	74.136	
1618509784.6762962	5.641	73.598	
1618509784.7475853	5.641	73.598	
1618509784.8171084	5.641	74.136	
1618509784.8885636	5.641	74.136	
1618509784.9586878	5.641	74.136	
1618509785.0314772	5.641	74.136	
1618509785.101156	5.641	74.136	
1618509785.1722915	5.641	74.136	
1618509785.241929	5.641	74.136	
1618509785.3135815	5.641	74.136	
1618509785.383158	5.641	74.136	
1618509785.4548364	5.683	74.674	
1618509785.524882	5.683	74.136	
