time	W	temp4	temp5	temp6	temp7
1618451671.7124972	0	54.0	55.0	56.0	51.0	
1618451671.7438383	0	57.0	57.0	59.0	53.0	
1618451671.7757206	0	59.0	58.0	61.0	54.0	
1618451671.8127875	0	59.0	60.0	62.0	55.0	
1618451671.8509321	0	59.0	61.0	63.0	56.0	
1618451671.8884563	0	60.0	62.0	64.0	56.0	
1618451671.9269204	0	60.0	62.0	65.0	57.0	
1618451671.9659514	0	61.0	63.0	65.0	57.0	
1618451672.0025883	0	60.0	64.0	66.0	57.0	
1618451672.0393643	0	62.0	64.0	67.0	58.0	
1618451672.0766659	9.149	62.0	64.0	66.0	58.0	
1618451672.112909	9.149	62.0	65.0	67.0	58.0	
1618451672.150476	9.149	63.0	65.0	67.0	58.0	
1618451672.190592	9.149	63.0	66.0	67.0	59.0	
1618451672.2274873	9.149	64.0	66.0	67.0	60.0	
1618451672.260889	9.149	64.0	66.0	68.0	60.0	
1618451672.295744	9.149	64.0	67.0	68.0	60.0	
1618451672.3288503	9.149	64.0	67.0	69.0	60.0	
1618451672.3662264	9.149	64.0	68.0	70.0	60.0	
1618451672.4026396	9.149	65.0	68.0	70.0	60.0	
1618451672.441326	9.149	64.0	68.0	70.0	60.0	
1618451672.4793255	9.149	65.0	68.0	71.0	60.0	
1618451672.5118058	9.149	65.0	69.0	71.0	61.0	
1618451672.549043	9.149	66.0	69.0	70.0	60.0	
1618451672.586397	9.149	65.0	69.0	70.0	61.0	
1618451672.623827	9.149	66.0	69.0	70.0	61.0	
1618451672.6625261	9.149	65.0	69.0	71.0	61.0	
1618451672.7005858	9.149	66.0	70.0	71.0	62.0	
1618451672.7370548	9.149	66.0	69.0	72.0	62.0	
1618451672.7721524	9.149	65.0	70.0	72.0	61.0	
1618451672.8077302	9.149	65.0	70.0	72.0	62.0	
1618451672.8438506	9.149	67.0	70.0	71.0	61.0	
1618451672.876352	9.149	66.0	69.0	72.0	62.0	
1618451672.91111	9.149	66.0	70.0	72.0	61.0	
1618451672.943701	9.149	66.0	70.0	72.0	62.0	
1618451672.9793205	9.149	67.0	71.0	72.0	63.0	
1618451673.016719	9.149	68.0	71.0	72.0	63.0	
1618451673.0521715	9.149	67.0	71.0	72.0	63.0	
1618451673.0861464	9.149	67.0	71.0	73.0	63.0	
1618451673.1210055	9.767	68.0	71.0	73.0	63.0	
1618451673.1559684	9.767	67.0	71.0	73.0	62.0	
1618451673.190229	9.767	66.0	72.0	73.0	63.0	
1618451673.2269409	9.767	67.0	72.0	73.0	63.0	
1618451673.2623832	9.767	68.0	72.0	73.0	63.0	
1618451673.2996411	9.767	68.0	72.0	73.0	63.0	
1618451673.3346827	9.767	68.0	72.0	74.0	64.0	
1618451673.3693542	9.767	68.0	72.0	74.0	63.0	
1618451673.4044	9.767	68.0	72.0	75.0	64.0	
1618451673.438177	9.767	68.0	72.0	74.0	64.0	
1618451673.4710357	9.767	68.0	73.0	74.0	63.0	
1618451673.5066729	9.767	68.0	72.0	74.0	64.0	
1618451673.5443761	9.767	68.0	72.0	74.0	64.0	
1618451673.5800397	9.767	69.0	72.0	75.0	63.0	
1618451673.6132936	9.767	69.0	73.0	75.0	64.0	
1618451673.6468203	9.767	68.0	72.0	74.0	65.0	
1618451673.6849437	9.767	69.0	73.0	74.0	64.0	
1618451673.7180684	9.767	68.0	73.0	74.0	64.0	
1618451673.756482	9.767	69.0	73.0	74.0	64.0	
1618451673.7936113	9.767	68.0	73.0	74.0	64.0	
1618451673.8286142	9.767	69.0	72.0	74.0	64.0	
1618451673.863011	9.767	69.0	73.0	74.0	64.0	
1618451673.8979738	9.767	69.0	73.0	74.0	65.0	
1618451673.9360583	9.767	68.0	73.0	75.0	64.0	
1618451673.978462	9.767	69.0	73.0	74.0	64.0	
1618451674.0151122	9.767	69.0	73.0	74.0	64.0	
1618451674.0510767	9.985	70.0	73.0	74.0	63.0	
1618451674.0867991	9.985	70.0	73.0	75.0	64.0	
1618451674.120229	9.985	69.0	74.0	74.0	65.0	
1618451674.155452	9.985	70.0	74.0	75.0	65.0	
1618451674.189507	9.985	68.0	74.0	74.0	65.0	
1618451674.2247603	9.985	70.0	74.0	75.0	65.0	
1618451674.2603927	9.985	70.0	74.0	75.0	65.0	
1618451674.2968838	9.985	70.0	74.0	76.0	65.0	
1618451674.3346038	9.985	69.0	74.0	75.0	65.0	
1618451674.3675594	9.985	70.0	74.0	75.0	65.0	
1618451674.4041665	9.985	70.0	75.0	76.0	65.0	
1618451674.4397326	9.985	69.0	75.0	76.0	65.0	
1618451674.4770398	9.985	70.0	74.0	77.0	65.0	
1618451674.512749	9.985	70.0	74.0	76.0	66.0	
1618451674.5488327	9.985	70.0	74.0	76.0	66.0	
1618451674.5817494	9.985	70.0	74.0	76.0	66.0	
1618451674.6181066	9.985	70.0	74.0	75.0	66.0	
1618451674.6535752	9.985	71.0	74.0	76.0	66.0	
1618451674.6894815	9.985	70.0	75.0	75.0	66.0	
1618451674.7231598	9.985	70.0	75.0	76.0	66.0	
1618451674.7581239	9.985	70.0	75.0	76.0	66.0	
1618451674.7913272	9.985	70.0	75.0	77.0	65.0	
1618451674.8266413	9.985	70.0	75.0	76.0	66.0	
1618451674.8643262	9.985	71.0	75.0	75.0	66.0	
1618451674.8997931	9.985	71.0	75.0	76.0	66.0	
1618451674.9345267	9.985	71.0	75.0	76.0	65.0	
1618451674.9700499	9.985	71.0	75.0	76.0	66.0	
1618451675.006883	9.985	71.0	75.0	77.0	66.0	
1618451675.0440564	9.748	71.0	75.0	76.0	66.0	
1618451675.075947	9.748	72.0	75.0	76.0	65.0	
1618451675.1123257	9.748	71.0	76.0	76.0	66.0	
1618451675.1441214	9.748	71.0	76.0	77.0	66.0	
1618451675.1778765	9.748	70.0	76.0	77.0	66.0	
1618451675.2146034	9.748	71.0	75.0	76.0	66.0	
1618451675.2511895	9.748	72.0	75.0	77.0	66.0	
1618451675.2858703	9.748	71.0	76.0	76.0	66.0	
1618451675.3215294	9.748	71.0	76.0	77.0	66.0	
1618451675.3568254	9.748	72.0	75.0	76.0	66.0	
1618451675.3915598	9.748	70.0	76.0	76.0	66.0	
1618451675.4282196	9.748	71.0	76.0	77.0	67.0	
1618451675.4653258	9.748	72.0	76.0	78.0	66.0	
1618451675.499752	9.748	71.0	75.0	77.0	66.0	
1618451675.5354748	9.748	70.0	76.0	77.0	66.0	
1618451675.5714579	9.748	72.0	76.0	77.0	66.0	
1618451675.6055963	9.748	72.0	76.0	77.0	66.0	
1618451675.6431262	9.748	71.0	76.0	78.0	67.0	
1618451675.6799598	9.748	71.0	76.0	77.0	67.0	
1618451675.715277	9.748	72.0	76.0	76.0	66.0	
1618451675.7528565	9.748	71.0	76.0	77.0	66.0	
1618451675.7880087	9.748	72.0	76.0	77.0	67.0	
1618451675.8225698	9.748	72.0	76.0	77.0	66.0	
1618451675.8562515	9.748	71.0	76.0	77.0	67.0	
1618451675.8915644	9.748	72.0	76.0	77.0	67.0	
1618451675.9271362	9.748	72.0	76.0	77.0	66.0	
1618451675.9604387	9.748	72.0	76.0	77.0	67.0	
1618451675.9951043	9.748	71.0	76.0	77.0	67.0	
1618451676.0309174	9.748	71.0	76.0	77.0	67.0	
1618451676.06896	9.947	72.0	76.0	77.0	67.0	
1618451676.104466	9.947	72.0	77.0	77.0	67.0	
1618451676.1417053	9.947	71.0	77.0	77.0	67.0	
1618451676.1768107	9.947	72.0	76.0	77.0	67.0	
1618451676.2147856	9.947	73.0	76.0	77.0	67.0	
1618451676.2487981	9.947	73.0	76.0	77.0	67.0	
1618451676.2844987	9.947	72.0	77.0	78.0	67.0	
1618451676.3220737	9.947	72.0	77.0	78.0	67.0	
1618451676.355143	9.947	72.0	77.0	78.0	67.0	
1618451676.391752	9.947	72.0	76.0	78.0	68.0	
1618451676.430941	9.947	72.0	76.0	78.0	67.0	
1618451676.4638324	9.947	71.0	77.0	78.0	67.0	
1618451676.4994714	9.947	72.0	77.0	78.0	67.0	
1618451676.538202	9.947	72.0	76.0	78.0	67.0	
1618451676.575362	9.947	72.0	77.0	77.0	67.0	
1618451676.6094394	9.947	72.0	77.0	78.0	67.0	
1618451676.6455352	9.947	73.0	76.0	77.0	67.0	
1618451676.6795428	9.947	72.0	77.0	77.0	67.0	
1618451676.7146425	9.947	73.0	77.0	78.0	67.0	
1618451676.7489033	9.947	72.0	77.0	79.0	67.0	
1618451676.7843187	9.947	73.0	77.0	78.0	67.0	
1618451676.8204365	9.947	72.0	77.0	79.0	67.0	
1618451676.8587422	9.947	72.0	77.0	78.0	68.0	
1618451676.893087	9.947	72.0	77.0	78.0	68.0	
1618451676.9283636	9.947	72.0	77.0	78.0	67.0	
1618451676.9607334	9.947	73.0	77.0	79.0	68.0	
1618451676.9940941	9.947	73.0	77.0	78.0	68.0	
1618451677.02915	9.947	73.0	77.0	79.0	67.0	
1618451677.0684626	9.947	72.0	77.0	78.0	67.0	
1618451677.105134	9.786	72.0	77.0	78.0	68.0	
1618451677.1411011	9.786	72.0	77.0	79.0	67.0	
1618451677.1767411	9.786	73.0	77.0	79.0	68.0	
1618451677.210521	9.786	72.0	77.0	79.0	68.0	
1618451677.2485657	9.786	73.0	77.0	78.0	68.0	
1618451677.283977	9.786	73.0	77.0	77.0	68.0	
1618451677.32028	9.786	72.0	77.0	79.0	68.0	
1618451677.3579888	9.786	73.0	77.0	78.0	68.0	
1618451677.394243	9.786	72.0	77.0	79.0	68.0	
1618451677.4308062	9.786	73.0	77.0	79.0	67.0	
1618451677.466527	9.786	73.0	77.0	79.0	68.0	
1618451677.5065925	9.786	74.0	77.0	79.0	68.0	
1618451677.5391395	9.786	74.0	77.0	78.0	68.0	
1618451677.5742917	9.786	72.0	78.0	78.0	68.0	
1618451677.6100116	9.786	73.0	77.0	78.0	68.0	
1618451677.6477716	9.786	72.0	77.0	78.0	68.0	
1618451677.682681	9.786	73.0	77.0	79.0	68.0	
1618451677.7193487	9.786	73.0	78.0	79.0	68.0	
1618451677.755235	9.786	73.0	77.0	78.0	68.0	
1618451677.7952843	9.786	73.0	77.0	78.0	68.0	
1618451677.8357294	9.786	73.0	77.0	79.0	68.0	
1618451677.8739688	9.786	72.0	77.0	78.0	68.0	
1618451677.9120574	9.786	72.0	77.0	78.0	68.0	
1618451677.9490056	9.786	73.0	77.0	78.0	68.0	
1618451677.9848151	9.786	73.0	78.0	79.0	68.0	
1618451678.0177119	9.786	73.0	78.0	78.0	67.0	
