time	W	temp4	temp5	temp6	temp7
1618453961.676353	0	64.0	66.0	68.0	60.0	
1618453961.714416	0	66.0	68.0	70.0	62.0	
1618453961.7504196	0	67.0	69.0	71.0	63.0	
1618453961.7850425	0	68.0	70.0	72.0	63.0	
1618453961.821815	0	69.0	71.0	73.0	65.0	
1618453961.8563561	0	69.0	72.0	74.0	65.0	
1618453961.890874	0	70.0	72.0	75.0	65.0	
1618453961.9243724	0	70.0	73.0	75.0	65.0	
1618453961.9614697	0	70.0	74.0	75.0	66.0	
1618453961.9964151	0	72.0	74.0	75.0	66.0	
1618453962.031497	0	72.0	75.0	76.0	67.0	
1618453962.0661376	0	72.0	75.0	76.0	67.0	
1618453962.1011145	7.538	73.0	75.0	77.0	68.0	
1618453962.1356578	7.538	73.0	75.0	77.0	68.0	
1618453962.168143	7.538	73.0	76.0	78.0	68.0	
1618453962.2049534	7.538	73.0	77.0	79.0	68.0	
1618453962.2397861	7.538	73.0	77.0	78.0	68.0	
1618453962.2747345	7.538	73.0	77.0	79.0	69.0	
1618453962.3116097	7.538	74.0	78.0	79.0	69.0	
1618453962.3437164	7.538	75.0	78.0	79.0	70.0	
1618453962.3810332	7.538	74.0	78.0	79.0	70.0	
1618453962.4151485	7.538	75.0	78.0	80.0	70.0	
1618453962.4520671	7.538	75.0	79.0	79.0	70.0	
1618453962.4860537	7.538	75.0	79.0	80.0	70.0	
1618453962.5243142	7.538	76.0	79.0	80.0	71.0	
1618453962.5573788	7.538	76.0	79.0	81.0	70.0	
1618453962.5896978	7.538	75.0	79.0	81.0	70.0	
1618453962.6242962	7.538	76.0	80.0	81.0	70.0	
1618453962.6559281	7.538	75.0	80.0	81.0	70.0	
1618453962.6903088	7.538	77.0	80.0	81.0	71.0	
1618453962.729047	7.538	76.0	80.0	81.0	71.0	
1618453962.7648416	7.538	76.0	80.0	81.0	71.0	
1618453962.8000138	7.538	76.0	80.0	82.0	71.0	
1618453962.836605	7.538	76.0	80.0	82.0	72.0	
1618453962.8763638	7.538	77.0	80.0	81.0	71.0	
1618453962.9136806	7.538	77.0	80.0	81.0	72.0	
1618453962.9499326	7.538	77.0	80.0	82.0	72.0	
1618453962.9814303	7.538	77.0	81.0	82.0	72.0	
1618453963.014286	7.538	76.0	81.0	82.0	73.0	
1618453963.0488024	7.538	78.0	81.0	82.0	72.0	
1618453963.0866613	7.538	77.0	81.0	81.0	72.0	
1618453963.1214468	10.073	77.0	81.0	82.0	72.0	
1618453963.1543229	10.073	78.0	81.0	82.0	72.0	
1618453963.1877992	10.073	78.0	82.0	82.0	73.0	
1618453963.2200136	10.073	79.0	81.0	83.0	72.0	
1618453963.254487	10.073	79.0	81.0	83.0	72.0	
1618453963.2913983	10.073	78.0	82.0	83.0	73.0	
1618453963.3263757	10.073	78.0	82.0	84.0	73.0	
1618453963.3611846	10.073	78.0	83.0	84.0	73.0	
1618453963.3917954	10.073	79.0	83.0	83.0	74.0	
1618453963.4262838	10.073	78.0	82.0	83.0	73.0	
1618453963.463061	10.073	78.0	82.0	84.0	74.0	
1618453963.4995	10.073	78.0	83.0	83.0	74.0	
1618453963.5333226	10.073	78.0	83.0	85.0	73.0	
1618453963.5679133	10.073	77.0	83.0	85.0	73.0	
1618453963.6060772	10.073	78.0	83.0	84.0	73.0	
1618453963.6411357	10.073	79.0	83.0	84.0	74.0	
1618453963.6772864	10.073	78.0	83.0	84.0	74.0	
1618453963.7146804	10.073	79.0	83.0	84.0	74.0	
1618453963.7496471	10.073	79.0	83.0	85.0	73.0	
1618453963.7879303	10.073	77.0	82.0	84.0	73.0	
1618453963.8266754	10.073	77.0	82.0	84.0	73.0	
1618453963.8643079	10.073	77.0	82.0	83.0	73.0	
1618453963.900956	10.073	77.0	82.0	82.0	73.0	
1618453963.9392993	10.073	77.0	81.0	82.0	73.0	
1618453963.9768002	10.073	77.0	81.0	82.0	72.0	
1618453964.0152333	10.073	78.0	82.0	83.0	73.0	
1618453964.0502164	10.073	78.0	82.0	83.0	74.0	
1618453964.0881672	10.073	77.0	83.0	83.0	74.0	
1618453964.1245906	8.893	77.0	82.0	83.0	74.0	
1618453964.1604319	8.893	78.0	82.0	84.0	73.0	
1618453964.1954772	8.893	78.0	83.0	84.0	73.0	
1618453964.229071	8.893	79.0	83.0	84.0	73.0	
1618453964.2635622	8.893	79.0	83.0	84.0	73.0	
1618453964.296713	8.893	78.0	83.0	83.0	73.0	
1618453964.332852	8.893	78.0	82.0	84.0	73.0	
1618453964.3708622	8.893	79.0	82.0	83.0	73.0	
1618453964.4076965	8.893	78.0	82.0	83.0	73.0	
1618453964.4445617	8.893	77.0	82.0	83.0	73.0	
1618453964.4816864	8.893	76.0	82.0	83.0	73.0	
1618453964.5178952	8.893	78.0	82.0	84.0	73.0	
1618453964.551251	8.893	78.0	83.0	84.0	73.0	
