time	W	temp4	temp5	temp6	temp7
1618452363.0317924	0	62.0	65.0	65.0	58.0	
1618452363.089437	4.905	65.0	67.0	69.0	61.0	
1618452363.151763	4.905	66.0	69.0	70.0	61.0	
1618452363.2093952	4.905	68.0	71.0	72.0	63.0	
1618452363.265476	4.905	69.0	72.0	73.0	64.0	
1618452363.3224459	4.905	70.0	73.0	75.0	65.0	
1618452363.3792722	4.905	70.0	74.0	75.0	66.0	
1618452363.4369543	4.905	70.0	75.0	76.0	66.0	
1618452363.493995	4.905	72.0	75.0	77.0	67.0	
1618452363.5505369	4.905	72.0	76.0	77.0	67.0	
1618452363.6092966	4.905	73.0	77.0	78.0	67.0	
1618452363.6655762	4.905	73.0	77.0	78.0	68.0	
1618452363.726396	4.905	73.0	77.0	78.0	68.0	
1618452363.782077	4.905	73.0	78.0	79.0	69.0	
1618452363.8381565	4.905	74.0	78.0	79.0	69.0	
1618452363.8967943	4.905	74.0	79.0	80.0	69.0	
1618452363.9543085	4.905	74.0	79.0	80.0	69.0	
1618452364.0100408	4.905	75.0	80.0	80.0	69.0	
1618452364.0663443	4.905	75.0	80.0	81.0	70.0	
1618452364.125335	11.126	75.0	80.0	80.0	70.0	
1618452364.1807337	11.126	76.0	81.0	81.0	70.0	
1618452364.2368534	11.126	75.0	81.0	82.0	71.0	
1618452364.2923849	11.126	75.0	81.0	82.0	71.0	
1618452364.3476121	11.126	76.0	82.0	83.0	72.0	
1618452364.4036386	11.126	76.0	82.0	83.0	72.0	
1618452364.4579973	11.126	77.0	82.0	83.0	72.0	
1618452364.5173934	11.126	77.0	82.0	83.0	72.0	
1618452364.576794	11.126	77.0	82.0	83.0	71.0	
1618452364.6343086	11.126	77.0	82.0	83.0	72.0	
1618452364.6930287	11.126	77.0	82.0	83.0	72.0	
1618452364.7488976	11.126	77.0	83.0	84.0	72.0	
1618452364.805875	11.126	77.0	82.0	84.0	72.0	
1618452364.865518	11.126	78.0	83.0	83.0	72.0	
1618452364.9214628	11.126	78.0	83.0	84.0	73.0	
1618452364.9774156	11.126	78.0	83.0	84.0	73.0	
1618452365.0341074	11.126	78.0	83.0	85.0	73.0	
1618452365.0894861	11.126	78.0	84.0	85.0	73.0	
1618452365.1443896	11.164	78.0	84.0	85.0	73.0	
1618452365.2058554	11.164	77.0	83.0	84.0	73.0	
1618452365.2635355	11.164	77.0	82.0	83.0	72.0	
1618452365.321171	11.164	77.0	82.0	83.0	72.0	
1618452365.3771996	11.164	76.0	82.0	83.0	72.0	
1618452365.4349985	11.164	77.0	82.0	84.0	73.0	
1618452365.4906814	11.164	78.0	83.0	84.0	73.0	
1618452365.5500717	11.164	77.0	83.0	84.0	73.0	
1618452365.6044946	11.164	78.0	84.0	85.0	74.0	
1618452365.6615674	11.164	79.0	84.0	85.0	74.0	
1618452365.7178175	11.164	78.0	84.0	84.0	73.0	
1618452365.7782393	11.164	78.0	83.0	83.0	73.0	
1618452365.8366337	11.164	77.0	83.0	83.0	73.0	
1618452365.8964221	11.164	77.0	82.0	83.0	72.0	
1618452365.9534478	11.164	78.0	83.0	84.0	73.0	
1618452366.0147576	11.164	76.0	83.0	84.0	73.0	
1618452366.0721743	10.176	78.0	84.0	85.0	74.0	
1618452366.1284645	10.176	79.0	84.0	85.0	74.0	
1618452366.182962	10.176	79.0	85.0	86.0	74.0	
1618452366.2404196	10.176	78.0	84.0	85.0	74.0	
1618452366.299608	10.176	77.0	83.0	85.0	74.0	
1618452366.3586805	10.176	77.0	83.0	84.0	73.0	
1618452366.4181023	10.176	77.0	83.0	84.0	73.0	
1618452366.4764605	10.176	79.0	84.0	85.0	74.0	
1618452366.5329196	10.176	79.0	84.0	86.0	74.0	
1618452366.5910814	10.176	79.0	85.0	86.0	74.0	
1618452366.6492374	10.176	79.0	85.0	86.0	75.0	
1618452366.7054253	10.176	79.0	85.0	86.0	75.0	
1618452366.7648478	10.176	78.0	84.0	85.0	74.0	
1618452366.8251603	10.176	78.0	84.0	84.0	74.0	
1618452366.881369	10.176	78.0	84.0	84.0	73.0	
1618452366.941067	10.176	77.0	83.0	85.0	73.0	
1618452366.9988146	10.176	78.0	83.0	84.0	73.0	
1618452367.058302	10.176	78.0	83.0	84.0	73.0	
1618452367.1188087	9.939	77.0	83.0	84.0	73.0	
1618452367.1800082	9.939	78.0	82.0	83.0	73.0	
1618452367.2372673	9.939	79.0	83.0	85.0	74.0	
1618452367.2966292	9.939	79.0	84.0	84.0	74.0	
1618452367.3585205	9.939	79.0	84.0	85.0	74.0	
1618452367.417496	9.939	79.0	85.0	86.0	74.0	
1618452367.4770715	9.939	79.0	85.0	86.0	74.0	
1618452367.5402284	9.939	78.0	84.0	84.0	73.0	
1618452367.600651	9.939	78.0	83.0	85.0	74.0	
1618452367.6628673	9.939	78.0	83.0	84.0	72.0	
1618452367.721629	9.939	78.0	83.0	84.0	73.0	
1618452367.7787364	9.939	79.0	84.0	85.0	74.0	
1618452367.8358886	9.939	79.0	84.0	85.0	74.0	
1618452367.8968694	9.939	78.0	84.0	85.0	74.0	
1618452367.9563653	9.939	78.0	84.0	85.0	74.0	
1618452368.0183337	9.939	77.0	83.0	84.0	73.0	
1618452368.0807092	10.466	77.0	82.0	83.0	73.0	
1618452368.140325	10.466	77.0	82.0	83.0	72.0	
1618452368.1996887	10.466	77.0	82.0	82.0	72.0	
1618452368.2615378	10.466	77.0	82.0	83.0	72.0	
1618452368.3186529	10.466	77.0	82.0	83.0	72.0	
1618452368.378612	10.466	78.0	82.0	83.0	73.0	
1618452368.4388134	10.466	77.0	83.0	83.0	72.0	
1618452368.4978333	10.466	78.0	83.0	84.0	73.0	
1618452368.5583642	10.466	78.0	83.0	83.0	73.0	
1618452368.6196964	10.466	77.0	82.0	84.0	73.0	
1618452368.6789596	10.466	78.0	83.0	84.0	73.0	
1618452368.7361972	10.466	78.0	83.0	84.0	73.0	
1618452368.794704	10.466	78.0	83.0	84.0	73.0	
1618452368.855009	10.466	77.0	83.0	84.0	73.0	
1618452368.9168513	10.466	78.0	83.0	84.0	73.0	
1618452368.977082	10.466	78.0	82.0	83.0	73.0	
1618452369.035245	10.466	78.0	83.0	84.0	73.0	
1618452369.0974917	10.466	78.0	83.0	84.0	73.0	
1618452369.1551065	9.836	78.0	83.0	84.0	73.0	
1618452369.2141712	9.836	78.0	83.0	84.0	73.0	
1618452369.2710495	9.836	78.0	83.0	84.0	73.0	
1618452369.3325162	9.836	78.0	83.0	84.0	73.0	
1618452369.3948915	9.836	78.0	83.0	84.0	73.0	
1618452369.4540236	9.836	78.0	83.0	84.0	73.0	
1618452369.513456	9.836	78.0	83.0	84.0	73.0	
1618452369.5744443	9.836	78.0	83.0	84.0	73.0	
1618452369.6335049	9.836	78.0	83.0	84.0	73.0	
1618452369.6932795	9.836	78.0	83.0	84.0	73.0	
1618452369.7502906	9.836	78.0	83.0	84.0	74.0	
1618452369.8113198	9.836	78.0	83.0	84.0	74.0	
1618452369.8702104	9.836	78.0	83.0	84.0	74.0	
1618452369.9276795	9.836	78.0	83.0	84.0	74.0	
1618452369.98756	9.836	78.0	83.0	84.0	74.0	
1618452370.0478373	9.935	78.0	83.0	84.0	73.0	
1618452370.1052134	9.935	78.0	83.0	84.0	74.0	
1618452370.1653812	9.935	78.0	83.0	85.0	74.0	
1618452370.2244425	9.935	79.0	83.0	85.0	74.0	
1618452370.2856574	9.935	78.0	83.0	84.0	74.0	
