time	W	temp4	temp5	temp6	temp7
1618453050.0535386	5.321	69.0	71.0	72.0	64.0	
1618453050.109618	5.321	71.0	74.0	75.0	66.0	
1618453050.1695645	5.321	73.0	76.0	77.0	67.0	
1618453050.2268326	5.321	74.0	77.0	79.0	69.0	
1618453050.2868078	5.321	75.0	78.0	79.0	70.0	
1618453050.3430657	5.321	76.0	79.0	81.0	71.0	
1618453050.3983772	5.321	76.0	80.0	81.0	71.0	
1618453050.4562533	5.321	77.0	81.0	82.0	72.0	
1618453050.5139732	5.321	77.0	82.0	83.0	72.0	
1618453050.5703049	5.321	78.0	82.0	83.0	72.0	
1618453050.6290567	5.321	78.0	83.0	84.0	73.0	
1618453050.6874945	5.321	79.0	84.0	85.0	74.0	
1618453050.7450767	5.321	79.0	84.0	85.0	74.0	
1618453050.801696	5.321	79.0	85.0	85.0	74.0	
1618453050.8595936	5.321	80.0	85.0	85.0	75.0	
1618453050.9212937	5.321	78.0	84.0	85.0	74.0	
1618453050.9800794	5.321	79.0	84.0	84.0	74.0	
1618453051.0383866	5.321	79.0	84.0	85.0	74.0	
1618453051.0970936	5.321	79.0	84.0	84.0	74.0	
1618453051.1550434	10.912	79.0	84.0	85.0	74.0	
1618453051.2147415	10.912	79.0	84.0	85.0	74.0	
1618453051.273484	10.912	79.0	84.0	85.0	74.0	
1618453051.3330042	10.912	79.0	84.0	85.0	74.0	
1618453051.3945484	10.912	79.0	84.0	84.0	74.0	
1618453051.4536781	10.912	80.0	85.0	86.0	75.0	
1618453051.5110261	10.912	79.0	85.0	86.0	75.0	
1618453051.5740626	10.912	79.0	85.0	85.0	75.0	
1618453051.632759	10.912	80.0	85.0	85.0	75.0	
1618453051.6938143	10.912	79.0	84.0	84.0	74.0	
1618453051.758345	10.912	78.0	83.0	84.0	74.0	
1618453051.8224833	10.912	78.0	83.0	84.0	74.0	
1618453051.8834062	10.912	78.0	83.0	84.0	73.0	
1618453051.9421976	10.912	79.0	83.0	85.0	74.0	
1618453051.9991183	10.912	79.0	84.0	85.0	75.0	
1618453052.057684	10.912	80.0	84.0	85.0	75.0	
1618453052.1191206	10.912	79.0	84.0	85.0	75.0	
1618453052.1793513	9.409	79.0	84.0	85.0	74.0	
1618453052.2410023	9.409	79.0	84.0	85.0	74.0	
1618453052.3027809	9.409	78.0	83.0	84.0	74.0	
1618453052.3625636	9.409	79.0	83.0	84.0	74.0	
1618453052.4263175	9.409	79.0	83.0	84.0	73.0	
1618453052.4838479	9.409	80.0	84.0	85.0	75.0	
1618453052.551077	9.409	79.0	84.0	84.0	74.0	
1618453052.6088696	9.409	80.0	84.0	85.0	75.0	
1618453052.6653368	9.409	80.0	85.0	86.0	75.0	
1618453052.7274103	9.409	79.0	84.0	85.0	74.0	
1618453052.7894082	9.409	79.0	84.0	85.0	75.0	
1618453052.8520231	9.409	79.0	83.0	85.0	74.0	
1618453052.9142895	9.409	79.0	83.0	84.0	74.0	
1618453052.9738185	9.409	79.0	84.0	85.0	74.0	
1618453053.0342147	9.409	80.0	84.0	85.0	75.0	
1618453053.0949984	9.29	80.0	85.0	86.0	75.0	
1618453053.1540787	9.29	80.0	85.0	86.0	76.0	
1618453053.2170234	9.29	80.0	85.0	86.0	75.0	
1618453053.278102	9.29	79.0	84.0	85.0	75.0	
1618453053.338765	9.29	79.0	84.0	85.0	75.0	
1618453053.4013166	9.29	79.0	84.0	85.0	75.0	
1618453053.461898	9.29	79.0	84.0	85.0	75.0	
1618453053.525841	9.29	79.0	84.0	85.0	75.0	
1618453053.585739	9.29	79.0	84.0	85.0	75.0	
1618453053.6480112	9.29	79.0	84.0	85.0	75.0	
1618453053.7076707	9.29	79.0	84.0	85.0	75.0	
1618453053.7669282	9.29	79.0	84.0	85.0	75.0	
1618453053.830093	9.29	79.0	83.0	85.0	74.0	
1618453053.8921523	9.29	79.0	84.0	85.0	75.0	
1618453053.9596431	9.29	78.0	83.0	83.0	74.0	
1618453054.0200434	9.29	80.0	84.0	86.0	75.0	
1618453054.0788398	8.939	80.0	85.0	86.0	76.0	
1618453054.1382155	8.939	81.0	85.0	86.0	76.0	
1618453054.1958265	8.939	81.0	86.0	87.0	76.0	
1618453054.2566447	8.939	80.0	85.0	85.0	76.0	
