time	W	temp
1618455765.233365	0	74.674	
1618455765.2942688	0	74.674	
1618455765.339539	0	74.674	
1618455765.3833582	0	74.674	
1618455765.4277024	0	75.212	
1618455765.4732716	0	74.674	
1618455765.517201	0	75.212	
1618455765.5611408	0	75.212	
1618455765.6065109	0	75.212	
1618455765.6509604	0	75.212	
1618455765.6949606	0	75.212	
1618455765.7406628	0	75.75	
1618455765.7852223	5.195	75.212	
1618455765.8290586	5.195	75.212	
1618455765.8738635	5.195	75.75	
1618455765.9169104	5.195	75.212	
1618455765.9609456	5.195	75.75	
1618455766.0064638	5.195	75.212	
1618455766.0503173	5.195	75.75	
1618455766.094272	5.195	76.288	
1618455766.1398919	5.195	75.212	
1618455766.1840756	5.195	76.288	
1618455766.2277277	5.195	76.288	
1618455766.273146	5.195	76.288	
1618455766.3174314	5.195	76.288	
1618455766.3610506	5.195	76.288	
1618455766.4062076	5.195	76.288	
1618455766.4504254	5.195	76.288	
1618455766.4941394	5.195	76.288	
1618455766.5395267	5.195	76.288	
1618455766.5836365	5.195	76.288	
1618455766.6275792	5.195	76.288	
1618455766.6731439	5.195	76.288	
1618455766.7168202	5.195	75.75	
1618455766.7608685	5.195	76.288	
1618455766.8063378	5.294	76.826	
1618455766.8512812	5.294	76.288	
1618455766.8950884	5.294	76.288	
1618455766.940502	5.294	76.288	
1618455766.9844708	5.294	76.288	
1618455767.0279624	5.294	77.364	
1618455767.0731552	5.294	77.364	
1618455767.1172369	5.294	77.364	
1618455767.1605105	5.294	77.364	
1618455767.2053754	5.294	77.364	
1618455767.2492864	5.294	77.902	
1618455767.292341	5.294	77.364	
1618455767.3378577	5.294	77.364	
1618455767.3809645	5.294	77.364	
1618455767.4249816	5.294	77.364	
1618455767.4707394	5.294	77.364	
1618455767.5136664	5.294	77.364	
1618455767.5579717	5.294	77.364	
1618455767.602986	5.294	77.364	
1618455767.6468346	5.294	77.364	
1618455767.6910434	5.294	77.364	
1618455767.7363756	5.294	77.364	
1618455767.7809687	5.271	77.364	
1618455767.8250282	5.271	77.902	
1618455767.870434	5.271	77.902	
1618455767.9137619	5.271	77.902	
1618455767.957219	5.271	78.44	
1618455768.0021763	5.271	77.364	
1618455768.0459752	5.271	77.364	
1618455768.0891383	5.271	77.902	
1618455768.1339374	5.271	77.364	
1618455768.177212	5.271	77.364	
1618455768.2203615	5.271	77.902	
1618455768.2659676	5.271	78.44	
1618455768.3100307	5.271	77.902	
1618455768.3540442	5.271	77.364	
1618455768.3998687	5.271	77.902	
1618455768.4436522	5.271	77.902	
1618455768.4875965	5.271	77.902	
1618455768.5329804	5.271	77.902	
1618455768.576799	5.271	78.44	
1618455768.6208637	5.271	77.902	
1618455768.6663136	5.271	78.44	
1618455768.710344	5.271	78.44	
1618455768.7543585	5.271	78.44	
1618455768.7997663	5.26	78.44	
1618455768.8460162	5.26	77.902	
1618455768.890124	5.26	78.44	
1618455768.9356604	5.26	77.902	
1618455768.9799263	5.26	77.902	
1618455769.0239043	5.26	78.44	
1618455769.0696125	5.26	78.44	
1618455769.1138875	5.26	78.44	
1618455769.1578176	5.26	77.902	
1618455769.2036693	5.26	78.44	
1618455769.2477221	5.26	78.44	
1618455769.29156	5.26	78.44	
1618455769.3367643	5.26	78.44	
1618455769.3808198	5.26	78.44	
1618455769.4246168	5.26	79.516	
1618455769.4704232	5.26	78.44	
1618455769.514431	5.26	78.44	
1618455769.5582092	5.26	78.44	
1618455769.6038728	5.26	78.44	
1618455769.647777	5.26	78.44	
1618455769.6916003	5.26	78.978	
1618455769.7369552	5.26	78.978	
1618455769.7806427	5.279	78.978	
1618455769.8247366	5.279	78.978	
1618455769.86995	5.279	79.516	
1618455769.9145162	5.279	78.44	
1618455769.9575102	5.279	78.44	
1618455770.00342	5.279	79.516	
1618455770.0468502	5.279	78.44	
1618455770.090785	5.279	78.44	
1618455770.1364555	5.279	78.44	
1618455770.180259	5.279	78.978	
1618455770.2244806	5.279	78.978	
1618455770.2699444	5.279	79.516	
1618455770.313379	5.279	79.516	
1618455770.35744	5.279	78.978	
1618455770.4028566	5.279	78.978	
1618455770.4468644	5.279	78.978	
1618455770.4907424	5.279	78.44	
1618455770.5365853	5.279	79.516	
1618455770.5803394	5.279	79.516	
1618455770.624489	5.279	78.44	
1618455770.6698904	5.279	78.978	
1618455770.7139587	5.279	79.516	
1618455770.7578564	5.279	78.978	
1618455770.80395	5.29	79.516	
1618455770.8501093	5.29	79.516	
1618455770.8943717	5.29	78.978	
1618455770.939818	5.29	79.516	
1618455770.9838345	5.29	79.516	
1618455771.0279024	5.29	78.978	
1618455771.073471	5.29	78.978	
1618455771.1172051	5.29	79.516	
1618455771.161222	5.29	79.516	
1618455771.206708	5.29	79.516	
1618455771.2506027	5.29	78.978	
1618455771.293954	5.29	79.516	
1618455771.3385649	5.29	79.516	
1618455771.3819714	5.29	79.516	
1618455771.4259853	5.29	79.516	
1618455771.4710019	5.29	79.516	
1618455771.5138636	5.29	79.516	
1618455771.5578156	5.29	79.516	
1618455771.6033444	5.29	79.516	
1618455771.6472766	5.29	80.054	
1618455771.691513	5.29	79.516	
1618455771.736741	5.29	79.516	
1618455771.7809877	5.328	79.516	
1618455771.825219	5.328	79.516	
1618455771.8706803	5.328	79.516	
1618455771.9143586	5.328	79.516	
1618455771.9577172	5.328	79.516	
1618455772.002199	5.328	79.516	
1618455772.0449271	5.328	79.516	
1618455772.0882308	5.328	80.054	
1618455772.1330333	5.328	79.516	
1618455772.1769185	5.328	79.516	
1618455772.2209957	5.328	79.516	
1618455772.2663755	5.328	79.516	
1618455772.3105166	5.328	79.516	
1618455772.3537695	5.328	79.516	
1618455772.3986611	5.328	80.054	
1618455772.4420228	5.328	79.516	
1618455772.4853194	5.328	79.516	
1618455772.5299172	5.328	79.516	
1618455772.5731091	5.328	79.516	
1618455772.6163433	5.328	79.516	
1618455772.6612163	5.328	80.054	
1618455772.7047176	5.328	80.054	
1618455772.7489235	5.328	80.054	
1618455772.7947803	5.328	80.054	
1618455772.8411493	5.328	79.516	
1618455772.884794	5.328	79.516	
1618455772.930066	5.328	80.054	
1618455772.9748125	5.328	79.516	
1618455773.0188024	5.328	80.054	
1618455773.0632744	5.328	79.516	
1618455773.1070986	5.328	79.516	
1618455773.1509993	5.328	80.054	
1618455773.1960104	5.328	79.516	
1618455773.2391493	5.328	80.054	
1618455773.2831302	5.328	79.516	
1618455773.330357	5.328	79.516	
1618455773.3751104	5.328	79.516	
1618455773.418369	5.328	79.516	
1618455773.46317	5.328	79.516	
1618455773.5074422	5.328	79.516	
1618455773.5515308	5.328	80.054	
1618455773.5967925	5.328	79.516	
1618455773.640103	5.328	80.054	
1618455773.6833253	5.328	79.516	
1618455773.7287898	5.328	79.516	
1618455773.77215	5.275	79.516	
1618455773.816654	5.275	80.592	
1618455773.8623161	5.275	79.516	
1618455773.9057844	5.275	79.516	
1618455773.9491637	5.275	80.054	
1618455773.9943442	5.275	80.054	
1618455774.037456	5.275	80.592	
1618455774.0808535	5.275	80.054	
1618455774.1261048	5.275	79.516	
1618455774.169194	5.275	80.592	
1618455774.2136316	5.275	79.516	
1618455774.2596722	5.275	80.592	
1618455774.304096	5.275	80.054	
1618455774.3476584	5.275	80.054	
1618455774.3925126	5.275	80.054	
1618455774.4363594	5.275	80.054	
1618455774.4803667	5.275	80.054	
1618455774.525375	5.275	79.516	
1618455774.5694969	5.275	80.054	
1618455774.6140456	5.275	80.054	
1618455774.6610808	5.275	80.592	
1618455774.7051191	5.275	80.054	
1618455774.7487426	5.275	80.054	
1618455774.795007	5.325	80.054	
1618455774.8432875	5.325	80.054	
1618455774.888649	5.325	80.054	
1618455774.9338837	5.325	80.592	
1618455774.9771018	5.325	80.592	
1618455775.0228314	5.325	80.592	
1618455775.070665	5.325	80.592	
1618455775.1156902	5.325	80.054	
1618455775.16069	5.325	80.054	
1618455775.206701	5.325	80.592	
1618455775.2508392	5.325	80.592	
1618455775.2950726	5.325	80.592	
1618455775.3410041	5.325	80.592	
1618455775.385186	5.325	80.054	
1618455775.4290423	5.325	80.054	
1618455775.4746537	5.325	80.592	
1618455775.5179472	5.325	80.054	
1618455775.5610852	5.325	80.592	
1618455775.6068554	5.325	80.054	
1618455775.6519806	5.325	80.054	
1618455775.6976905	5.325	80.054	
1618455775.745061	5.325	80.592	
1618455775.7912085	5.286	80.592	
1618455775.8382044	5.286	80.592	
1618455775.8860323	5.286	80.054	
1618455775.932028	5.286	80.054	
1618455775.9768927	5.286	80.592	
1618455776.0226734	5.286	80.592	
1618455776.0668898	5.286	80.592	
1618455776.1107175	5.286	80.592	
1618455776.1582422	5.286	80.592	
1618455776.203288	5.286	80.054	
1618455776.2485945	5.286	80.592	
1618455776.2958841	5.286	80.054	
1618455776.3410342	5.286	80.592	
1618455776.386135	5.286	80.592	
1618455776.433134	5.286	80.592	
1618455776.4787982	5.286	80.592	
1618455776.5231307	5.286	80.054	
1618455776.5693135	5.286	80.592	
1618455776.61337	5.286	80.592	
1618455776.658985	5.286	80.592	
1618455776.7058465	5.286	80.054	
1618455776.7515788	5.286	80.054	
1618455776.7982337	5.229	80.592	
1618455776.8475215	5.229	80.592	
1618455776.8926272	5.229	81.13	
1618455776.937197	5.229	80.592	
1618455776.9821725	5.229	80.054	
1618455777.0267026	5.229	80.592	
1618455777.0726433	5.229	80.592	
1618455777.1203747	5.229	80.592	
1618455777.1659098	5.229	80.054	
1618455777.2118406	5.229	80.592	
1618455777.2572172	5.229	80.592	
1618455777.3006632	5.229	80.592	
1618455777.3454664	5.229	80.592	
1618455777.3933039	5.229	81.13	
1618455777.4373589	5.229	80.592	
1618455777.480827	5.229	80.592	
1618455777.52684	5.229	80.592	
1618455777.5746274	5.229	80.592	
1618455777.6214366	5.229	80.592	
1618455777.6688364	5.229	80.592	
1618455777.7142034	5.229	80.592	
1618455777.7590275	5.229	80.592	
1618455777.8064437	5.229	80.592	
1618455777.8526378	5.229	81.13	
1618455777.8977857	5.229	80.592	
1618455777.9465585	5.229	81.13	
1618455777.994054	5.229	80.592	
1618455778.0408857	5.206	80.592	
1618455778.0878365	5.206	80.054	
1618455778.134205	5.206	80.592	
1618455778.1790714	5.206	80.592	
1618455778.2268648	5.206	80.592	
1618455778.2727053	5.206	80.592	
1618455778.3187952	5.206	80.592	
1618455778.3654199	5.206	80.592	
1618455778.4106205	5.206	80.592	
1618455778.4556794	5.206	80.592	
1618455778.5020015	5.206	80.592	
1618455778.5470128	5.206	81.13	
1618455778.592779	5.206	81.13	
1618455778.6405675	5.206	80.592	
1618455778.688194	5.206	80.592	
1618455778.7354774	5.206	80.592	
1618455778.7813718	5.218	80.592	
1618455778.8263302	5.218	80.592	
1618455778.871232	5.218	80.592	
1618455778.917548	5.218	81.13	
1618455778.9642346	5.218	80.592	
1618455779.0102744	5.218	80.592	
1618455779.058198	5.218	80.054	
1618455779.1041043	5.218	80.592	
1618455779.150354	5.218	80.592	
1618455779.1971214	5.218	81.13	
1618455779.2432334	5.218	80.592	
1618455779.2883532	5.218	81.13	
1618455779.336064	5.218	80.592	
1618455779.383531	5.218	81.13	
1618455779.431458	5.218	80.592	
1618455779.4787161	5.218	80.592	
1618455779.5236788	5.218	80.592	
1618455779.569839	5.218	81.13	
1618455779.616748	5.218	80.592	
1618455779.662916	5.218	80.592	
1618455779.7079446	5.218	81.13	
1618455779.7562542	5.218	81.13	
1618455779.804154	5.168	81.13	
1618455779.851844	5.168	80.592	
1618455779.9012187	5.168	81.13	
1618455779.9488678	5.168	80.592	
1618455779.994948	5.168	80.592	
1618455780.0426624	5.168	80.592	
1618455780.088261	5.168	80.592	
1618455780.134287	5.168	80.592	
1618455780.1836143	5.168	81.13	
1618455780.2312121	5.168	80.592	
1618455780.278807	5.168	80.592	
1618455780.328335	5.168	81.668	
1618455780.3769913	5.168	80.592	
1618455780.4268112	5.168	81.13	
1618455780.4758987	5.168	80.592	
1618455780.5208294	5.168	80.592	
1618455780.566238	5.168	81.668	
1618455780.6127725	5.168	80.592	
1618455780.6592474	5.168	80.592	
1618455780.706004	5.168	81.13	
1618455780.7552	5.168	80.592	
1618455780.8006039	5.099	81.668	
1618455780.8487194	5.099	81.13	
1618455780.8956027	5.099	80.592	
1618455780.9413853	5.099	81.13	
1618455780.986088	5.099	80.592	
1618455781.0413485	5.099	80.592	
1618455781.089634	5.099	80.592	
1618455781.1384976	5.099	80.592	
1618455781.1859694	5.099	80.592	
1618455781.2318738	5.099	80.592	
1618455781.278007	5.099	81.13	
1618455781.325345	5.099	80.592	
1618455781.3717542	5.099	81.668	
1618455781.4167206	5.099	81.668	
1618455781.4642038	5.099	80.592	
1618455781.513898	5.099	81.13	
1618455781.5632758	5.099	81.13	
1618455781.6104193	5.099	81.13	
1618455781.656275	5.099	81.668	
1618455781.7033556	5.099	81.13	
1618455781.751943	5.099	81.13	
1618455781.7979565	5.145	81.668	
1618455781.8448544	5.145	81.668	
1618455781.8918505	5.145	81.668	
1618455781.9366307	5.145	80.592	
1618455781.98275	5.145	81.668	
1618455782.0321226	5.145	80.592	
1618455782.0802908	5.145	81.668	
1618455782.1284406	5.145	80.592	
1618455782.177182	5.145	80.592	
1618455782.22544	5.145	81.668	
1618455782.2731602	5.145	80.592	
1618455782.3247762	5.145	81.668	
1618455782.3739724	5.145	81.668	
1618455782.4197407	5.145	80.592	
1618455782.466727	5.145	81.13	
1618455782.516003	5.145	80.592	
1618455782.5648155	5.145	80.592	
1618455782.6147535	5.145	81.13	
1618455782.661692	5.145	81.13	
1618455782.7078645	5.145	80.592	
1618455782.7555234	5.145	81.668	
1618455782.8022637	5.046	81.13	
1618455782.849088	5.046	81.13	
1618455782.8966036	5.046	81.668	
1618455782.9453173	5.046	81.668	
1618455782.9931016	5.046	80.592	
1618455783.0444717	5.046	81.668	
1618455783.0942287	5.046	80.592	
1618455783.1433902	5.046	81.668	
1618455783.1948955	5.046	81.668	
1618455783.2448022	5.046	81.668	
1618455783.2932806	5.046	81.13	
1618455783.3409712	5.046	81.13	
1618455783.3864832	5.046	81.668	
1618455783.4324446	5.046	81.13	
1618455783.4798748	5.046	81.13	
1618455783.529699	5.046	81.668	
1618455783.5794709	5.046	80.592	
1618455783.631254	5.046	81.668	
1618455783.6811776	5.046	80.592	
1618455783.7310762	5.046	81.13	
1618455783.7824545	5.084	80.592	
1618455783.8301368	5.084	80.592	
1618455783.8753974	5.084	81.668	
1618455783.925659	5.084	81.13	
1618455783.974365	5.084	80.592	
1618455784.0226166	5.084	81.668	
1618455784.0724788	5.084	80.592	
1618455784.121897	5.084	81.13	
1618455784.1717894	5.084	81.13	
1618455784.2216773	5.084	81.668	
1618455784.269472	5.084	80.592	
1618455784.3188736	5.084	81.13	
1618455784.3702857	5.084	81.668	
1618455784.419985	5.084	81.668	
1618455784.4695761	5.084	81.668	
1618455784.5209599	5.084	81.13	
1618455784.5710495	5.084	81.668	
1618455784.6184213	5.084	81.668	
1618455784.6659086	5.084	81.13	
1618455784.7124884	5.084	81.13	
1618455784.7605023	5.084	81.668	
1618455784.8084152	5.061	81.13	
1618455784.8550541	5.061	81.13	
1618455784.9012353	5.061	81.668	
1618455784.9489903	5.061	81.13	
1618455784.9944398	5.061	81.668	
1618455785.0393045	5.061	81.668	
1618455785.087097	5.061	81.668	
1618455785.1361966	5.061	81.668	
1618455785.1856503	5.061	81.13	
1618455785.234816	5.061	81.668	
1618455785.28185	5.061	81.668	
1618455785.3286977	5.061	81.13	
1618455785.3781583	5.061	80.592	
1618455785.426238	5.061	81.668	
1618455785.4762166	5.061	81.668	
1618455785.526067	5.061	80.592	
1618455785.572905	5.061	81.668	
1618455785.619995	5.061	81.668	
1618455785.6687753	5.061	81.668	
1618455785.7173657	5.061	81.668	
1618455785.767866	5.084	81.668	
1618455785.8204458	5.084	81.668	
1618455785.869255	5.084	81.668	
1618455785.9174912	5.084	81.13	
1618455785.9671717	5.084	81.668	
1618455786.0152104	5.084	81.668	
1618455786.064982	5.084	81.668	
1618455786.1160138	5.084	81.668	
1618455786.164782	5.084	81.668	
1618455786.2147064	5.084	81.668	
1618455786.2656188	5.084	81.668	
1618455786.3143964	5.084	82.206	
1618455786.3641236	5.084	81.668	
1618455786.4145653	5.084	81.668	
1618455786.4643009	5.084	81.668	
1618455786.5139306	5.084	81.668	
1618455786.564095	5.084	81.668	
1618455786.6134253	5.084	81.668	
1618455786.6628804	5.084	81.668	
1618455786.7139862	5.084	80.592	
1618455786.7618098	5.084	81.13	
1618455786.808828	5.027	81.13	
1618455786.8641324	5.027	81.668	
1618455786.9144766	5.027	80.592	
1618455786.9665935	5.027	81.13	
1618455787.019569	5.027	81.668	
1618455787.0665653	5.027	81.668	
1618455787.1139576	5.027	81.668	
1618455787.1610878	5.027	81.13	
1618455787.206981	5.027	80.592	
1618455787.2547593	5.027	81.668	
1618455787.306756	5.027	81.668	
1618455787.3540173	5.027	81.668	
1618455787.4010289	5.027	81.668	
1618455787.451423	5.027	81.668	
1618455787.5013113	5.027	80.592	
1618455787.5511162	5.027	81.668	
1618455787.6026657	5.027	81.668	
1618455787.6514897	5.027	81.13	
1618455787.7005026	5.027	81.668	
1618455787.7505865	5.027	81.668	
1618455787.7973075	5.046	81.668	
1618455787.8452222	5.046	81.668	
1618455787.8961182	5.046	80.592	
1618455787.9456143	5.046	81.668	
1618455787.9926188	5.046	81.668	
1618455788.0424607	5.046	81.668	
1618455788.091038	5.046	81.668	
1618455788.140907	5.046	81.668	
1618455788.1917877	5.046	81.668	
1618455788.241473	5.046	81.668	
1618455788.288373	5.046	81.668	
1618455788.3382313	5.046	81.668	
1618455788.3874683	5.046	81.668	
1618455788.4365058	5.046	81.668	
1618455788.4877703	5.046	81.668	
1618455788.5367868	5.046	82.206	
1618455788.5858266	5.046	81.668	
1618455788.6375334	5.046	82.206	
1618455788.6871803	5.046	81.668	
1618455788.7372391	5.046	81.668	
1618455788.7889473	5.012	81.668	
1618455788.841081	5.012	81.668	
1618455788.8889694	5.012	81.668	
1618455788.9375145	5.012	81.668	
1618455788.98737	5.012	81.668	
1618455789.0372636	5.012	81.668	
1618455789.0881774	5.012	81.668	
1618455789.137888	5.012	81.668	
1618455789.1889703	5.012	81.13	
1618455789.2427335	5.012	81.668	
1618455789.292798	5.012	81.668	
1618455789.3444178	5.012	81.668	
