time	W	temp
1618452844.9892766	0	60.148	
1618452845.0496325	0	60.148	
1618452845.0938122	0	60.148	
1618452845.1365657	0	60.148	
1618452845.1789842	0	60.148	
1618452845.223618	0	60.686	
1618452845.266352	0	60.148	
1618452845.30966	0	60.686	
1618452845.353671	0	60.686	
1618452845.3959725	0	60.686	
1618452845.4392304	0	60.686	
1618452845.4839208	0	60.148	
1618452845.52764	0	61.224	
1618452845.5709906	0	61.224	
1618452845.6149457	0	61.224	
1618452845.6576169	0	61.224	
1618452845.7008224	0	61.224	
1618452845.7457597	5.145	61.224	
1618452845.7884953	5.145	61.224	
1618452845.830975	5.145	61.224	
1618452845.8756075	5.145	61.224	
1618452845.918187	5.145	61.224	
1618452845.9608357	5.145	61.224	
1618452846.0054586	5.145	62.3	
1618452846.0493205	5.145	61.762	
1618452846.0925992	5.145	61.762	
1618452846.137291	5.145	61.224	
1618452846.1808777	5.145	62.3	
1618452846.223593	5.145	62.3	
1618452846.2678165	5.145	62.3	
1618452846.3102677	5.145	62.3	
1618452846.352986	5.145	62.3	
1618452846.3966026	5.145	62.3	
1618452846.4398217	5.145	62.3	
1618452846.4822993	5.145	62.3	
1618452846.5269494	5.145	62.3	
1618452846.570466	5.145	62.3	
1618452846.6136837	5.145	62.3	
1618452846.6583211	5.145	62.3	
1618452846.7010245	5.145	62.3	
1618452846.743744	5.073	62.3	
1618452846.7878354	5.073	62.3	
1618452846.8311403	5.073	62.3	
1618452846.875337	5.073	62.3	
1618452846.9193149	5.073	62.3	
1618452846.962454	5.073	62.838	
1618452847.005726	5.073	62.3	
1618452847.0505803	5.073	62.838	
1618452847.093865	5.073	62.3	
1618452847.137037	5.073	62.3	
1618452847.1811655	5.073	62.3	
1618452847.223701	5.073	63.376	
1618452847.26626	5.073	62.3	
1618452847.3101556	5.073	62.3	
1618452847.3527904	5.073	62.3	
1618452847.396177	5.073	62.3	
1618452847.4400294	5.073	62.838	
1618452847.4834619	5.073	62.838	
1618452847.5266213	5.073	62.838	
1618452847.5712306	5.073	62.838	
1618452847.6145682	5.073	62.838	
1618452847.6572027	5.073	63.376	
1618452847.7012167	5.073	63.376	
1618452847.7439458	5.061	63.376	
1618452847.7870715	5.061	63.376	
1618452847.8316572	5.061	62.838	
1618452847.8744624	5.061	63.376	
1618452847.9173846	5.061	63.376	
1618452847.9620814	5.061	63.376	
1618452848.006024	5.061	63.376	
1618452848.0493379	5.061	63.376	
1618452848.093992	5.061	62.3	
