time	W	temp
1618454543.5455554	0	76.288	
1618454543.6374857	0	77.364	
1618454543.7113626	0	77.364	
1618454543.7862856	5.164	77.902	
1618454543.8593826	5.164	77.902	
1618454543.9334347	5.164	77.902	
1618454544.0052376	5.164	77.902	
1618454544.0791693	5.164	78.44	
1618454544.1509197	5.164	78.44	
1618454544.2250896	5.164	77.902	
1618454544.295899	5.164	78.44	
1618454544.36947	5.164	78.44	
1618454544.4414093	5.164	78.44	
1618454544.5140312	5.164	78.44	
1618454544.585049	5.164	78.44	
1618454544.6574337	5.164	78.44	
1618454544.728687	5.164	78.978	
1618454544.8037372	5.592	78.978	
1618454544.8779056	5.592	78.978	
1618454544.9517837	5.592	78.978	
1618454545.0238318	5.592	79.516	
1618454545.0975664	5.592	79.516	
1618454545.169438	5.592	79.516	
1618454545.2428737	5.592	79.516	
1618454545.3147733	5.592	79.516	
1618454545.388316	5.592	79.516	
1618454545.4604354	5.592	79.516	
1618454545.5344822	5.592	79.516	
1618454545.6065242	5.592	79.516	
1618454545.6818042	5.592	79.516	
1618454545.754203	5.573	79.516	
1618454545.828929	5.573	80.054	
1618454545.8993666	5.573	80.054	
1618454545.973093	5.573	80.054	
1618454546.0450284	5.573	79.516	
1618454546.119029	5.573	80.054	
1618454546.1896691	5.573	80.054	
1618454546.263653	5.573	80.592	
1618454546.3357427	5.573	80.592	
1618454546.4109228	5.573	80.054	
1618454546.482878	5.573	80.592	
1618454546.5556693	5.573	80.592	
1618454546.6287246	5.573	80.054	
1618454546.7062538	5.573	80.592	
1618454546.7819555	5.485	80.592	
1618454546.8617716	5.485	80.592	
1618454546.936906	5.485	80.592	
1618454547.0128436	5.485	80.592	
1618454547.0877795	5.485	80.592	
1618454547.1653686	5.485	80.592	
1618454547.2404737	5.485	80.592	
1618454547.3170006	5.485	80.592	
1618454547.3922884	5.485	80.592	
1618454547.469345	5.485	80.592	
1618454547.5446744	5.485	80.592	
1618454547.6222832	5.485	81.668	
1618454547.699665	5.485	81.13	
1618454547.78096	5.47	81.668	
1618454547.8579214	5.47	81.668	
1618454547.9378064	5.47	81.13	
1618454548.0142481	5.47	81.668	
1618454548.094004	5.47	80.592	
1618454548.173473	5.47	81.668	
1618454548.2522595	5.47	81.13	
1618454548.3322024	5.47	81.668	
1618454548.4124954	5.47	80.592	
1618454548.4893174	5.47	81.668	
1618454548.5734577	5.47	81.668	
1618454548.6510978	5.47	81.668	
1618454548.734109	5.47	81.13	
1618454548.816167	5.409	81.668	
1618454548.8978233	5.409	81.668	
1618454548.9727652	5.409	81.668	
1618454549.0524716	5.409	81.668	
1618454549.1330783	5.409	80.592	
1618454549.213918	5.409	81.13	
1618454549.2913494	5.409	82.206	
1618454549.3732886	5.409	82.206	
1618454549.4499533	5.409	81.668	
1618454549.5317686	5.409	81.668	
1618454549.6124268	5.409	81.668	
1618454549.6998646	5.409	81.668	
1618454549.7800043	5.37	81.668	
1618454549.863938	5.37	81.668	
1618454549.9455726	5.37	81.668	
1618454550.029081	5.37	81.668	
1618454550.1087265	5.37	81.668	
1618454550.190108	5.37	81.668	
1618454550.269397	5.37	81.668	
1618454550.35176	5.37	82.206	
1618454550.4325256	5.37	81.668	
1618454550.5158165	5.37	81.668	
1618454550.5967412	5.37	82.206	
1618454550.6812499	5.37	82.206	
1618454550.7659504	5.206	81.668	
1618454550.8556325	5.206	81.668	
1618454550.9384036	5.206	81.668	
1618454551.0218515	5.206	81.668	
1618454551.1032178	5.206	81.668	
1618454551.1874857	5.206	81.668	
1618454551.2715743	5.206	81.668	
1618454551.3588247	5.206	82.206	
1618454551.4419732	5.206	81.668	
1618454551.524171	5.206	82.744	
1618454551.601814	5.206	81.668	
1618454551.6868088	5.206	82.206	
1618454551.7712135	5.298	82.206	
1618454551.8583217	5.298	81.668	
1618454551.9421427	5.298	81.668	
1618454552.0262682	5.298	82.206	
1618454552.1105254	5.298	81.668	
1618454552.1938372	5.298	82.206	
1618454552.2772098	5.298	82.206	
1618454552.3629746	5.298	81.668	
1618454552.4448864	5.298	82.206	
1618454552.5314977	5.298	82.206	
1618454552.6166637	5.298	82.744	
1618454552.7049747	5.298	82.744	
1618454552.7868528	5.172	82.744	
1618454552.8784497	5.172	82.206	
1618454552.96554	5.172	82.206	
1618454553.0520558	5.172	82.744	
1618454553.1361196	5.172	81.668	
1618454553.2229002	5.172	82.206	
1618454553.306912	5.172	81.668	
1618454553.3944712	5.172	82.206	
1618454553.4819365	5.172	82.206	
1618454553.5715964	5.172	82.206	
1618454553.6559184	5.172	82.206	
1618454553.7445405	5.172	82.744	
1618454553.8340056	5.042	82.206	
1618454553.9224312	5.042	82.744	
1618454554.0107167	5.042	82.206	
1618454554.098923	5.042	82.744	
1618454554.1831386	5.042	82.206	
1618454554.271703	5.042	82.206	
1618454554.3574352	5.042	82.744	
1618454554.4452124	5.042	82.206	
1618454554.5265234	5.042	82.206	
1618454554.6165092	5.042	82.744	
1618454554.7022562	5.042	82.206	
1618454554.7897909	5.252	82.744	
1618454554.87409	5.252	82.744	
1618454554.9615798	5.252	82.744	
1618454555.0463948	5.252	82.206	
1618454555.133728	5.252	82.206	
1618454555.2143416	5.252	82.744	
1618454555.302255	5.252	81.668	
1618454555.3908253	5.252	82.744	
1618454555.4826608	5.252	82.744	
1618454555.5706003	5.252	82.206	
1618454555.6584961	5.252	82.744	
1618454555.7483437	5.252	82.744	
1618454555.8348775	5.252	82.206	
1618454555.92404	5.252	82.206	
1618454556.0097036	5.065	82.206	
1618454556.092846	5.065	82.744	
1618454556.179389	5.065	82.744	
1618454556.2648768	5.065	82.206	
1618454556.3583603	5.065	83.282	
1618454556.4467244	5.065	81.668	
1618454556.5384924	5.065	82.206	
1618454556.6239038	5.065	82.744	
1618454556.7134411	5.065	82.744	
1618454556.803261	5.088	82.744	
1618454556.8964663	5.088	82.206	
1618454556.9833808	5.088	83.282	
1618454557.0753953	5.088	82.744	
1618454557.1639915	5.088	82.206	
1618454557.2542856	5.088	82.744	
1618454557.342756	5.088	82.744	
1618454557.4331334	5.088	82.206	
1618454557.521445	5.088	82.744	
1618454557.6135287	5.088	82.206	
1618454557.7012699	5.088	82.744	
1618454557.789334	5.065	82.744	
1618454557.879865	5.065	82.206	
1618454557.9720254	5.065	82.744	
1618454558.05669	5.065	82.744	
1618454558.1447017	5.065	82.206	
1618454558.229808	5.065	82.744	
1618454558.3195803	5.065	82.744	
1618454558.408385	5.065	82.744	
1618454558.4987507	5.065	82.744	
1618454558.587305	5.065	83.282	
1618454558.6831129	5.065	82.744	
1618454558.7699637	5.012	82.744	
1618454558.861958	5.012	82.206	
1618454558.9498951	5.012	82.744	
1618454559.0388882	5.012	82.744	
1618454559.12622	5.012	82.744	
1618454559.2156043	5.012	82.744	
1618454559.3017259	5.012	82.744	
1618454559.3862674	5.012	82.744	
1618454559.4730456	5.012	82.744	
1618454559.5624485	5.012	82.744	
1618454559.6491535	5.012	82.744	
1618454559.7371256	5.012	82.744	
1618454559.8221426	5.179	82.744	
1618454559.911982	5.179	82.744	
1618454559.9979312	5.179	82.744	
1618454560.086987	5.179	82.744	
1618454560.1741397	5.179	82.744	
1618454560.2664936	5.179	82.744	
1618454560.352472	5.179	82.744	
1618454560.4415305	5.179	82.744	
1618454560.5313234	5.179	82.744	
1618454560.6203096	5.179	82.744	
1618454560.7081368	5.179	82.744	
1618454560.7980514	5.042	82.744	
1618454560.8893964	5.042	82.744	
1618454560.9793038	5.042	82.744	
1618454561.0665607	5.042	82.744	
1618454561.1560526	5.042	82.744	
1618454561.2417166	5.042	82.206	
1618454561.3275359	5.042	82.744	
1618454561.4142115	5.042	82.744	
1618454561.5052247	5.042	82.744	
1618454561.5924191	5.042	82.744	
1618454561.686358	5.042	82.744	
1618454561.7750294	4.989	82.744	
1618454561.8651621	4.989	82.206	
