time	W	temp
1618453466.3980927	0	68.756	
1618453466.489815	0	69.294	
1618453466.56237	0	69.294	
1618453466.6362247	0	69.832	
1618453466.7092052	0	69.832	
1618453466.7826908	5.519	69.832	
1618453466.8588068	5.519	69.832	
1618453466.9333785	5.519	69.832	
1618453467.004888	5.519	70.37	
1618453467.0782175	5.519	70.37	
1618453467.150335	5.519	70.908	
1618453467.22401	5.519	70.908	
1618453467.2957823	5.519	70.908	
1618453467.3693466	5.519	70.908	
1618453467.4413917	5.519	70.37	
1618453467.5146937	5.519	70.37	
1618453467.5862448	5.519	70.908	
1618453467.6597085	5.519	70.908	
1618453467.7324996	5.531	71.446	
1618453467.806459	5.531	70.908	
1618453467.8780098	5.531	71.446	
1618453467.9507546	5.531	71.446	
1618453468.0222504	5.531	71.446	
1618453468.0954309	5.531	71.446	
1618453468.1667738	5.531	71.446	
1618453468.2406223	5.531	71.984	
1618453468.3120759	5.531	71.446	
1618453468.384559	5.531	71.984	
1618453468.4555283	5.531	71.984	
1618453468.5271554	5.531	71.984	
1618453468.5972714	5.531	71.984	
1618453468.6701381	5.531	72.522	
1618453468.7423804	5.515	72.522	
1618453468.814414	5.515	72.522	
1618453468.8846562	5.515	72.522	
1618453468.958033	5.515	73.06	
1618453469.0278883	5.515	72.522	
1618453469.0997558	5.515	73.06	
1618453469.1703014	5.515	73.06	
1618453469.2422576	5.515	72.522	
1618453469.3123503	5.515	73.06	
1618453469.3844557	5.515	73.06	
1618453469.4547057	5.515	73.06	
1618453469.5282886	5.515	72.522	
1618453469.6000261	5.515	73.06	
1618453469.6744485	5.515	73.06	
1618453469.747452	5.542	72.522	
1618453469.8214648	5.542	73.06	
1618453469.8937232	5.542	73.06	
1618453469.9675095	5.542	73.598	
1618453470.0373266	5.542	74.136	
1618453470.110771	5.542	74.136	
1618453470.1825674	5.542	73.598	
1618453470.255618	5.542	73.598	
1618453470.32738	5.542	73.598	
1618453470.4012606	5.542	73.598	
1618453470.4713087	5.542	74.136	
1618453470.5431168	5.542	73.598	
1618453470.6148198	5.542	73.598	
1618453470.6896143	5.542	74.136	
1618453470.7618124	5.58	73.598	
1618453470.839058	5.58	74.136	
1618453470.911059	5.58	73.598	
1618453470.9830606	5.58	74.136	
1618453471.0532134	5.58	74.136	
1618453471.1265247	5.58	74.136	
1618453471.19793	5.58	74.136	
1618453471.2697527	5.58	74.136	
1618453471.3404787	5.58	74.136	
1618453471.4129524	5.58	74.136	
1618453471.482647	5.58	74.136	
1618453471.5550008	5.58	74.136	
1618453471.6265767	5.58	74.136	
1618453471.6990523	5.58	74.136	
1618453471.7713695	5.599	74.136	
1618453471.845323	5.599	74.136	
1618453471.9170737	5.599	74.674	
1618453471.990652	5.599	74.674	
1618453472.0610783	5.599	74.136	
1618453472.1332438	5.599	74.136	
1618453472.2034044	5.599	74.674	
1618453472.2770662	5.599	74.136	
1618453472.3488917	5.599	74.136	
